Step,Queue Length,Counters,Thresholds,Discarded Frame,Current Queue
1,3,"{2: 1, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0}","{2: 0, 3: 600, 4: 300, 5: 150, 6: 75, 7: 37, 8: 18, 9: 9, 10: 4}",None,"['F1', 'F2', 'F3', 'F4', 'F5']"
2,4,"{2: 2, 3: 1, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0}","{2: 0, 3: 600, 4: 300, 5: 150, 6: 75, 7: 37, 8: 18, 9: 9, 10: 4}",None,"['F1', 'F2', 'F3', 'F4', 'F5']"
3,5,"{2: 3, 3: 2, 4: 1, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0}","{2: 0, 3: 600, 4: 300, 5: 150, 6: 75, 7: 37, 8: 18, 9: 9, 10: 4}",None,"['F1', 'F2', 'F3', 'F4', 'F5']"
4,6,"{2: 4, 3: 3, 4: 2, 5: 1, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0}","{2: 0, 3: 600, 4: 300, 5: 150, 6: 75, 7: 37, 8: 18, 9: 9, 10: 4}",None,"['F1', 'F2', 'F3', 'F4', 'F5']"
5,5,"{2: 5, 3: 4, 4: 3, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0}","{2: 0, 3: 600, 4: 300, 5: 150, 6: 75, 7: 37, 8: 18, 9: 9, 10: 4}",None,"['F1', 'F2', 'F3', 'F4', 'F5']"
6,4,"{2: 6, 3: 5, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0}","{2: 0, 3: 600, 4: 300, 5: 150, 6: 75, 7: 37, 8: 18, 9: 9, 10: 4}",None,"['F1', 'F2', 'F3', 'F4', 'F5']"
7,3,"{2: 7, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0}","{2: 0, 3: 600, 4: 300, 5: 150, 6: 75, 7: 37, 8: 18, 9: 9, 10: 4}",None,"['F1', 'F2', 'F3', 'F4', 'F5']"
8,5,"{2: 8, 3: 1, 4: 1, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0}","{2: 0, 3: 600, 4: 300, 5: 150, 6: 75, 7: 37, 8: 18, 9: 9, 10: 4}",None,"['F1', 'F2', 'F3', 'F4', 'F5']"
9,6,"{2: 9, 3: 2, 4: 2, 5: 1, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0}","{2: 0, 3: 600, 4: 300, 5: 150, 6: 75, 7: 37, 8: 18, 9: 9, 10: 4}",None,"['F1', 'F2', 'F3', 'F4', 'F5']"
10,7,"{2: 10, 3: 3, 4: 3, 5: 2, 6: 1, 7: 0, 8: 0, 9: 0, 10: 0}","{2: 0, 3: 600, 4: 300, 5: 150, 6: 75, 7: 37, 8: 18, 9: 9, 10: 4}",None,"['F1', 'F2', 'F3', 'F4', 'F5']"
11,5,"{2: 11, 3: 4, 4: 4, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0}","{2: 0, 3: 600, 4: 300, 5: 150, 6: 75, 7: 37, 8: 18, 9: 9, 10: 4}",None,"['F1', 'F2', 'F3', 'F4', 'F5']"
12,4,"{2: 12, 3: 5, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0}","{2: 0, 3: 600, 4: 300, 5: 150, 6: 75, 7: 37, 8: 18, 9: 9, 10: 4}",None,"['F1', 'F2', 'F3', 'F4', 'F5']"
13,3,"{2: 13, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0}","{2: 0, 3: 600, 4: 300, 5: 150, 6: 75, 7: 37, 8: 18, 9: 9, 10: 4}",None,"['F1', 'F2', 'F3', 'F4', 'F5']"
14,4,"{2: 14, 3: 1, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0}","{2: 0, 3: 600, 4: 300, 5: 150, 6: 75, 7: 37, 8: 18, 9: 9, 10: 4}",None,"['F1', 'F2', 'F3', 'F4', 'F5']"
15,5,"{2: 15, 3: 2, 4: 1, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0}","{2: 0, 3: 600, 4: 300, 5: 150, 6: 75, 7: 37, 8: 18, 9: 9, 10: 4}",None,"['F1', 'F2', 'F3', 'F4', 'F5']"
