Time, Status
5348068949168, 0
5348069105175, 0
5348069264589, 0
5348069434518, 0
5348069611789, 0
5348069794541, 0
5348069851979, 1
5348069935652, 0
5348070011747, 1
5348070103397, 0
5348070111450, 1
5348070205328, 1
5348070365956, 1
5348070379651, 0
5348070438495, 0
5348070494571, 1
5348070604792, 0
5348070675669, 1
5348070773966, 0
5348070917873, 1
5348070934172, 0
5348071026349, 1
5348071103104, 0
5348071197307, 1
5348071272192, 0
5348071301031, 1
5348071483823, 0
5348071499230, 1
5348071668907, 1
5348071698829, 0
5348071781828, 0
5348071865316, 1
5348071942364, 0
5348071970951, 1
5348072148160, 1
5348072171443, 0
5348072273643, 0
5348072313291, 1
5348072453163, 0
5348072472931, 1
5348072612564, 0
5348072686029, 1
5348072823727, 0
5348072861581, 1
5348072944261, 0
5348072970536, 1
5348073158374, 1
5348073185504, 0
5348073327364, 0
5348073340570, 1
5348073442631, 0
5348073539844, 1
5348073612118, 0
5348073722682, 1
5348073776209, 0
5348073829311, 1
5348073956601, 0
5348074009017, 1
5348074125647, 0
5348074242318, 1
5348074349644, 1
5348074376881, 0
5348074496701, 0
5348074535652, 1
5348074611073, 0
5348074675577, 1
5348074776227, 0
5348074849856, 1
5348074947866, 1
5348074968335, 0
5348075109320, 0
5348075113853, 1
5348075274968, 1
5348075284983, 0
5348075444637, 0
5348075488882, 1
5348075614904, 0
5348075659023, 1
5348075778430, 0
5348075816948, 1
5348075944609, 0
5348075980345, 1
5348076138811, 1
5348076143312, 0
5348076275888, 0
5348076292107, 1
5348076440634, 1
5348076449277, 0
5348076596405, 1
5348076612167, 0
5348076745476, 1
5348076789125, 0
5348076945686, 0
5348076993456, 1
5348077110907, 0
5348077154511, 1
5348077280275, 0
5348077316372, 1
5348077446049, 0
5348077470110, 1
5348077612694, 0
5348077627739, 1
5348077774861, 1
5348077781094, 0
5348077925183, 1
5348077967184, 0
5348078071157, 1
5348078155701, 0
5348078222029, 1
5348078281721, 0
5348078366292, 1
5348078446864, 0
5348078512162, 1
5348078613974, 0
5348078699003, 1
5348078780488, 0
5348078953537, 0
5348078975593, 1
5348079117485, 0
5348079292361, 0
5348079503777, 1
5348079659404, 0
5348079918225, 1
5348079966043, 0
5348080070649, 1
5348080121589, 0
5348080288668, 0
5348080394371, 1
5348080455006, 0
5348080544723, 1
5348080651346, 0
5348080735566, 1
5348080791844, 0
5348080885741, 1
5348080956489, 0
5348081078812, 1
5348081123995, 0
5348081228775, 1
5348081293552, 0
5348081431544, 1
5348081465131, 0
5348081582923, 1
5348081694715, 0
5348081732406, 1
5348081792557, 0
5348081926314, 1
5348081963095, 0
5348082085804, 1
5348082139144, 0
5348082278271, 1
5348082292322, 0
5348082426107, 1
5348082459784, 0
5348082620306, 1
5348082626176, 0
5348082768601, 1
5348082794211, 0
5348082956867, 0
5348082963177, 1
5348083111115, 1
5348083124006, 0
5348083289823, 0
5348083305497, 1
5348083458081, 0
5348083460609, 1
5348083620384, 1
5348083628613, 0
5348083793298, 0
5348083814743, 1
5348083959261, 0
5348083961877, 1
5348084123902, 0
5348084158549, 1
5348084288942, 0
5348084311856, 1
5348084456283, 0
5348084500631, 1
5348084623206, 0
5348084654581, 1
5348084790409, 0
5348084884937, 1
5348084958210, 0
5348085050480, 1
5348085123833, 0
5348085202703, 1
5348085295472, 0
5348085350895, 1
5348085467404, 0
5348085499427, 1
5348085625089, 0
5348085704207, 1
5348085790092, 0
5348085853356, 1
5348085955738, 0
5348086011047, 1
5348086125268, 0
5348086202208, 1
5348086295313, 0
5348086350610, 1
5348086459899, 0
5348086545986, 1
5348086622881, 0
5348086720986, 1
5348086794676, 0
5348086880479, 1
5348086963945, 0
5348087028756, 1
5348087127782, 0
5348087226085, 1
5348087303808, 0
5348087376698, 1
5348087494439, 0
5348087577886, 1
5348087629642, 0
5348087727135, 1
5348087792766, 0
5348087874753, 1
5348087963053, 0
5348088067078, 1
5348088125424, 0
5348088219648, 1
5348088307488, 0
5348088412756, 1
5348088490709, 0
5348088560600, 1
5348088627492, 0
5348088753346, 1
5348088794009, 0
5348088904577, 1
5348088962227, 0
5348089098445, 1
5348089128384, 0
5348089251924, 1
5348089292908, 0
5348089400904, 1
5348089462615, 0
5348089604716, 1
5348089629634, 0
5348089755629, 1
5348089794806, 0
5348089905829, 1
5348089968953, 0
5348090105809, 1
5348090131366, 0
5348090257849, 1
5348090296699, 0
5348090451810, 1
5348090465856, 0
5348090601913, 1
5348090629322, 0
5348090754198, 1
5348090798062, 0
5348090950839, 1
5348090995986, 0
5348091100715, 1
5348091131891, 0
5348091294735, 1
5348091297220, 0
5348091443019, 1
5348091467433, 0
5348091629026, 0
5348091670762, 1
5348091819408, 1
5348091841432, 0
5348091966411, 0
5348091971421, 1
5348092121468, 1
5348092130580, 0
5348092310498, 1
5348092315920, 0
5348092470188, 1
5348092480289, 0
5348092660748, 1
5348092690433, 0
5348092981879, 1
5348092984654, 0
5348092996611, 0
5348093133881, 0
5348093135433, 1
5348093236891, 1
5348093300077, 0
5348093393626, 1
5348093464272, 0
5348093569083, 1
5348093634972, 0
5348093727530, 1
5348093841855, 0
5348093885538, 1
5348093985983, 0
5348094035453, 1
5348094135411, 0
5348094186993, 1
5348094298810, 0
5348094336108, 1
5348094478832, 0
5348094482899, 1
5348094632506, 0
5348094674947, 1
5348094817378, 0
5348094831901, 1
5348094969523, 0
5348094984567, 1
5348095133944, 0
5348095196330, 1
5348095299582, 0
5348095355874, 1
5348095468053, 0
5348095510152, 1
5348095633996, 0
5348095698699, 1
5348095800275, 0
5348095849531, 1
5348095965236, 0
5348096006761, 1
5348096131421, 0
5348096215813, 1
5348096300472, 0
5348096365926, 1
5348096467470, 0
5348096514373, 1
5348096637546, 0
5348096707443, 1
5348096801959, 0
5348096856125, 1
5348096967869, 0
5348097049823, 1
5348097133202, 0
5348097198115, 1
5348097303973, 0
5348097390072, 1
5348097472272, 0
5348097543109, 1
5348097636593, 0
5348097691255, 1
