Time,Status
35504388010, 0
35504433789, 0
35504585552, 0
35504753270, 0
35504906613, 0
35505069349, 0
35505249231, 0
35505401304, 0
35505578811, 0
35505736709, 0
35505911550, 0
35506013205, 1
35506321598, 0
35506344462, 0
35506402304, 0
35506520776, 1
35506567079, 0
35506653877, 1
35506754466, 0
35506774200, 1
35506901873, 1
35506903170, 0
35507019238, 1
35507073495, 0
35507137483, 1
35507234021, 0
35507265350, 1
35507385680, 1
35507412472, 0
35507515367, 1
35507563376, 0
35507650813, 1
35507732856, 0
35507773448, 1
35507902264, 0
35507906430, 1
35508021236, 1
35508070607, 0
35508168928, 1
35508236985, 0
35508342431, 1
35508404425, 0
35508500462, 1
35508564479, 0
35508667265, 1
35508731816, 0
35508840226, 1
35508898275, 0
35509009543, 1
35509064838, 0
35509173207, 1
35509233862, 0
35509344886, 1
35509413879, 0
35509504770, 1
35509575251, 0
35509675939, 1
35509748266, 0
35509839724, 1
35509908471, 0
35510006139, 1
35510066523, 0
35510174736, 1
35510236430, 0
35510338288, 1
35510403356, 0
35510507089, 1
35510568828, 0
35510675200, 1
35510737947, 0
35510834900, 1
35510906120, 0
35511005377, 1
35511074338, 0
35511172304, 1
35511252156, 0
35511337920, 1
35511407917, 0
35511506135, 1
35511571784, 0
35511675009, 1
35511738397, 0
35511843930, 1
35511904693, 0
35512006125, 1
35512069102, 0
35512170008, 1
35512235785, 0
35512340225, 1
35512431872, 0
35512503476, 1
35512595701, 0
35512670007, 1
35512794423, 0
35512836105, 1
35512918114, 0
35513005248, 1
35513075111, 0
35513180862, 1
35513239940, 0
35513410211, 0
35513612188, 1
35513644711, 0
35513734745, 1
35513772387, 0
35513857704, 1
35513963787, 1
35514081591, 1
35514195381, 1
35514265975, 0
35514338598, 1
35514405095, 0
35514506739, 1
35514575595, 0
35514672175, 1
35514747861, 0
35514838263, 1
35514925224, 0
35515013004, 1
35515085367, 0
35515252556, 0
35515342896, 1
35515431563, 0
35515504877, 1
35515601757, 0
35515672243, 1
35515756373, 0
35515838946, 1
35515910426, 0
35516005712, 1
35516085285, 0
35516173151, 1
35516242345, 0
35516338912, 1
35516423498, 0
35516506154, 1
35516580284, 0
35516673410, 1
35516747300, 0
35516840118, 1
35516909794, 0
35517006592, 1
35517093479, 0
35517174275, 1
35517270502, 0
35517340630, 1
35517412995, 0
35517506901, 1
35517577853, 0
35517674124, 1
35517742955, 0
35517840431, 1
35517920004, 0
35518007638, 1
35518151445, 0
35518174058, 1
35518245491, 0
35518340506, 1
35518411002, 0
35518508211, 1
35518588865, 0
35518674622, 1
35518771704, 0
35518841781, 1
35518987997, 0
35519007200, 1
35519087255, 0
35519175158, 1
35519252671, 0
35519342232, 1
35519416329, 0
35519508395, 1
35519588896, 0
35519675717, 1
35519759126, 0
35519842554, 1
35519908042, 0
35520009312, 1
35520084790, 0
35520177942, 1
35520243075, 0
35520342492, 1
35520422088, 0
35520509093, 1
35520576063, 0
35520676109, 1
35520747258, 0
35520843209, 1
35520915555, 0
35521009763, 1
35521091275, 0
35521176465, 1
35521258706, 0
35521343222, 1
35521428320, 0
35521510263, 1
35521596254, 0
35521676619, 1
35521755539, 0
35521843579, 1
35521924526, 0
35522091986, 0
35522177972, 1
35522258495, 0
35522344199, 1
35522430872, 0
35522510753, 1
35522594782, 0
35522677517, 1
35522762856, 0
35522844685, 1
35522920886, 0
35523010723, 1
35523090848, 0
35523177762, 1
35523259821, 0
35523345174, 1
35523421171, 0
35523510525, 1
35523578380, 0
35523678749, 1
35523755713, 0
35523845032, 1
35523917759, 0
35524012267, 1
35524090098, 0
35524178398, 1
35524318429, 0
35524345814, 1
35524410486, 0
35524511659, 1
35524579921, 0
35524678837, 1
35524759677, 0
35524845617, 1
35524909552, 0
35525012297, 1
35525085536, 0
35525180057, 1
35525256448, 0
35525347135, 1
35525411483, 0
35525517513, 1
35525581120, 0
35525681483, 1
35525749942, 0
35525850309, 1
35525923487, 0
35526017562, 1
35526087951, 0
35526180515, 1
35526252066, 0
35526347743, 1
35526426408, 0
35526513095, 1
35526592594, 0
35526680099, 1
35526745907, 0
35526847393, 1
35526913285, 0
35527016338, 1
35527086342, 0
35527183418, 1
35527263246, 0
35527351606, 1
35527415130, 0
35527518030, 1
35527582704, 0
35527686722, 1
35527759428, 0
35527851766, 1
35527953226, 0
35528015155, 1
35528091181, 0
35528181096, 1
35528253570, 0
35528352291, 1
35528490915, 0
35528514737, 1
35528590505, 0
35528682391, 1
35528770863, 0
35528849587, 1
35528928120, 0
35529019627, 1
35529157190, 0
35529183207, 1
35529331026, 0
35529349630, 1
35529449343, 0
35529517620, 1
35529581992, 0
35529685090, 1
35529752055, 0
35529853184, 1
35529915451, 0
35530020289, 1
35530092194, 0
35530183270, 1
35530264003, 0
35530353412, 1
35530414482, 0
35530518360, 1
35530583907, 0
35530684203, 1
35530765117, 0
35530853771, 1
35530915972, 0
35531018332, 1
35531084431, 0
35531187672, 1
35531252040, 0
35531354249, 1
35531418672, 0
35531517695, 1
35531598730, 0
35531684084, 1
35531772086, 0
35531850739, 1
35531923596, 0
35532017515, 1
35532090946, 0
35532185139, 1
35532253986, 0
35532352250, 1
35532430267, 0
35532518412, 1
35532602308, 0
35532685182, 1
35532756467, 0
35532920903, 0
35533018818, 1
35533098367, 0
35533185265, 1
35533276690, 0
35533352805, 1
35533428058, 0
35533519718, 1
35533593304, 0
35533686200, 1
35533755357, 0
35533852849, 1
35533946488, 0
35534019970, 1
35534170798, 0
35534186157, 1
35534251239, 0
35534353228, 1
35534423234, 0
35534519949, 1
35534591472, 0
35534686841, 1
35534771051, 0
35534852917, 1
35534941062, 0
35535020628, 1
35535167532, 0
35535187456, 1
35535260405, 0
35535354146, 1
35535428734, 0
35535520463, 1
35535589243, 0
35535687463, 1
35535772535, 0
35535854374, 1
35535950093, 0
35536020786, 1
35536097666, 0
35536188566, 1
35536262086, 0
35536354719, 1
35536421960, 0
35536522257, 1
35536588251, 0
35536688259, 1
35536756455, 0
35536855111, 1
35536924435, 0
35537021518, 1
35537086583, 0
35537188700, 1
35537257748, 0
35537355132, 1
35537435961, 0
35537521829, 1
35537685577, 0
35537689345, 1
35537755280, 0
35537856558, 1
35537923277, 0
35538024080, 1
35538093450, 0
35538189134, 1
35538256353, 0
35538356142, 1
35538443295, 0
35538522947, 1
35538608841, 0
35538689732, 1
35538776893, 0
35538856955, 1
35538935592, 0
35539023901, 1
35539097222, 0
35539190651, 1
35539267734, 0
35539357356, 1
35539433157, 0
35539524264, 1
35539653122, 0
35539691121, 1
35539773494, 0
35539858240, 1
35539938388, 0
35540024712, 1
35540119292, 0
35540190859, 1
35540266606, 0
35540358287, 1
35540435196, 0
35540525020, 1
35540604137, 0
35540691795, 1
35540761786, 0
35540858654, 1
35540937216, 0
35541025376, 1
35541101080, 0
35541192072, 1
35541268677, 0
35541362196, 1
35541441858, 0
35541525834, 1
35541606229, 0
35541692597, 1
35541760069, 0
35541863370, 1
35541922885, 0
35542029696, 1
35542092890, 0
35542196078, 1
35542277950, 0
35542362701, 1
35542440411, 0
35542529435, 1
35542608057, 0
35542696416, 1
35542770042, 0
35542863247, 1
35542934841, 0
35543027484, 1
35543099868, 0
35543193714, 1
35543261062, 0
35543360829, 1
35543424192, 0
35543526214, 1
35543596717, 0
35543697975, 1
35543775657, 0
35543859720, 1
35543948115, 0
35544028418, 1
35544109416, 0
35544194512, 1
35544271551, 0
35544364456, 1
35544436833, 0
35544528259, 1
35544604746, 0
35544695098, 1
35544767231, 0
35544861099, 1
35544933214, 0
35545028723, 1
35545110092, 0
35545198879, 1
35545273403, 0
35545365161, 1
35545448058, 0
35545532226, 1
35545603628, 0
35545698202, 1
35545779336, 0
35545865515, 1
35545940741, 0
35546033021, 1
35546111419, 0
35546195600, 1
