Time,Status
93087032525, 0
93087080582, 0
93087205792, 0
93087309600, 1
93087381271, 0
93087798473, 1
93087898916, 1
93087933174, 0
93087962982, 0
93087968088, 0
93088042513, 0
93088065172, 1
93088174445, 1
93088215088, 0
93088297190, 1
93088385380, 0
93088423999, 1
93088544810, 0
93088555839, 1
93088667444, 1
93088706759, 0
93088778944, 1
93088874130, 0
93088910203, 1
93089011601, 1
93089040985, 0
93089143553, 1
93089205919, 0
93089298969, 1
93089374227, 0
93089463738, 1
93089554541, 0
93089632322, 1
93089717905, 0
93089797652, 1
93089879083, 0
93089962797, 1
93090044963, 0
93090141776, 1
93090217392, 0
93090296669, 1
93090374957, 0
93090464377, 1
93090550676, 0
93090631714, 1
93090720871, 0
93090798668, 1
93090880129, 0
93090965272, 1
93091045112, 0
93091131470, 1
93091230455, 0
93091297065, 1
93091384936, 0
93091463091, 1
93091542181, 0
93091629486, 1
93091714752, 0
93091799126, 1
93091878172, 0
93091966044, 1
93092061837, 0
93092131556, 1
93092220404, 0
93092298150, 1
93092398027, 0
93092466113, 1
93092545802, 0
93092639566, 1
93092728653, 0
93092885447, 0
93093054184, 0
93093089644, 1
93093191188, 1
93093220950, 0
93093312291, 1
93093414786, 1
93093529143, 1
93093592620, 0
93093658429, 1
93093918058, 0
93093966572, 1
93094067373, 0
93094135282, 1
93094240156, 0
93094299161, 1
93094398488, 0
93094469301, 1
93094577875, 0
93094636298, 1
93094736599, 0
93094801752, 1
93094903136, 0
93095074591, 0
93095136404, 1
93095233289, 0
93095300496, 1
93095402771, 0
93095466418, 1
93095565876, 0
93095638173, 1
93095747371, 0
93095803773, 1
93095911276, 0
93095967772, 1
93096062836, 0
93096135103, 1
93096246095, 0
93096304722, 1
93096400187, 0
93096470978, 1
93096570044, 0
93096634741, 1
93096735583, 0
93096801459, 1
93096971144, 1
93097285625, 0
93097316468, 0
93097316937, 1
93097342172, 0
93097402517, 0
93097471516, 1
93097580732, 0
93097635665, 1
93097746576, 0
93097807054, 1
93097905959, 0
93097968630, 1
93098082728, 0
93098140230, 1
93098244692, 0
93098303414, 1
93098411423, 0
93098472546, 1
93098571100, 0
93098636234, 1
93098732766, 0
93098807043, 1
93098907607, 0
93098972839, 1
93099082475, 0
93099139157, 1
93099246949, 0
93099302558, 1
93099419778, 0
93099469720, 1
93099585138, 0
93099636276, 1
93099753685, 0
93099803601, 1
93099914775, 0
93100071976, 0
93100137459, 1
93100246234, 0
93100303827, 1
93100413309, 0
93100470578, 1
93100584193, 0
93100637484, 1
93100746124, 0
93100803995, 1
93100906970, 0
93100971117, 1
93101088217, 0
93101137269, 1
93101251367, 0
93101304656, 1
93101419641, 0
93101471412, 1
93101587177, 0
93101638137, 1
93101752667, 0
93101805437, 1
93101916845, 0
93101971779, 1
93102080284, 0
93102138734, 1
93102257207, 0
93102305487, 1
93102406253, 0
93102473069, 1
93102567316, 0
93102638901, 1
93102740021, 0
93102805587, 1
93102899645, 0
93102972473, 1
93103085463, 0
93103138755, 1
93103268276, 0
93103305944, 1
93103407608, 0
93103472885, 1
93103588288, 0
93103640089, 1
93103790835, 0
93103806464, 1
93103906064, 0
93103972903, 1
93104091112, 0
93104139528, 1
93104241755, 0
93104306936, 1
93104401797, 0
93104476374, 1
93104587896, 0
93104640480, 1
93104748546, 0
93104807177, 1
93104916690, 0
93104974251, 1
93105085068, 0
93105140720, 1
93105238307, 0
93105307694, 1
93105429485, 0
93105473602, 1
93105582460, 0
93105642337, 1
93105735771, 0
93105807658, 1
93105901312, 0
93105974449, 1
93106142029, 1
93106289612, 0
93106310013, 1
93106323937, 0
93106412877, 0
93106475228, 1
93106582404, 0
93106641506, 1
93106744007, 0
93106809163, 1
93106905813, 0
93106975881, 1
93107074246, 0
93107141533, 1
93107249980, 0
93107309449, 1
93107415289, 0
93107477721, 1
93107575333, 0
93107745948, 0
93107809171, 1
93107911626, 0
93107976667, 1
93108075284, 0
93108143025, 1
93108245937, 0
93108309527, 1
93108421000, 0
93108476932, 1
93108642997, 1
93108810870, 1
93108963900, 0
93108980866, 1
93109006512, 0
93109020730, 0
93109075520, 0
93109144234, 1
93109245484, 0
93109310689, 1
93109408121, 0
93109477866, 1
93109579486, 0
93109645667, 1
93109757870, 0
93109811004, 1
93109908916, 0
93109977559, 1
93110074803, 0
93110144243, 1
93110237712, 0
93110311855, 1
93110419962, 0
93110478755, 1
93110576782, 0
93110649122, 1
93110744879, 0
93110811134, 1
93110899528, 0
93110979249, 1
93111087331, 0
