Time,Status
164671848725, 0
164671890449, 0
164672008562, 0
164672165079, 0
164672339325, 0
164672511777, 0
164672659119, 0
164672834253, 0
164672996089, 0
164673174410, 0
164673295198, 1
164673342345, 0
164673499958, 0
164673822218, 1
164673931605, 1
164674035659, 1
164674066209, 0
164674093876, 0
164674109202, 0
164674164191, 0
164674210048, 1
164674333848, 0
164674334177, 1
164674445495, 1
164674501002, 0
164674573635, 1
164674676183, 0
164674697011, 1
164674805444, 1
164674851240, 0
164674943358, 1
164674996814, 0
164675069390, 1
164675175514, 0
164675190494, 1
164675301225, 1
164675329953, 0
164675453697, 1
164675504690, 0
164675620976, 1
164675659872, 0
164675788094, 1
164675823004, 0
164675961394, 1
164675989636, 0
164676130764, 1
164676165883, 0
164676291770, 1
164676332697, 0
164676456605, 1
164676494467, 0
164676622941, 1
164676662980, 0
164676788034, 1
164676835037, 0
164676956530, 1
164677014315, 0
164677123500, 1
164677174410, 0
164677289606, 1
164677336814, 0
164677461670, 1
164677511853, 0
164677635894, 1
164677681099, 0
164677791100, 1
164677837746, 0
164677966555, 1
164678003455, 0
164678126757, 1
164678168539, 0
164678291076, 1
164678345633, 0
164678456832, 1
164678505732, 0
164678623087, 1
164678669507, 0
164678791331, 1
164678840291, 0
164678965224, 1
164679001130, 0
164679163412, 0
164679340260, 0
164679422517, 1
164679508674, 0
164679536992, 1
164679652644, 1
164679753918, 1
164679868716, 1
164679970289, 1
164680031052, 0
164680125221, 1
164680186889, 0
164680289893, 1
164680341449, 0
164680459021, 1
164680517322, 0
164680624327, 1
164680683312, 0
164680791558, 1
164680956739, 1
164681124636, 1
164681230274, 0
164681259146, 0
164681276409, 0
164681290398, 1
164681349213, 0
164681459873, 1
164681518793, 0
164681626841, 1
164681688179, 0
164681793512, 1
164681852419, 0
164681958796, 1
164682020700, 0
164682127013, 1
164682173333, 0
164682294084, 1
164682339705, 0
164682460326, 1
164682520583, 0
164682626072, 1
164682681470, 0
164682793052, 1
164682849229, 0
164682961638, 1
164683022591, 0
164683128193, 1
164683174888, 0
164683294804, 1
164683341087, 0
164683461879, 1
164683514954, 0
164683628298, 1
164683686339, 0
164683793195, 1
164683846038, 0
164683959894, 1
164684010063, 0
164684126697, 1
164684186544, 0
164684298680, 1
164684352930, 0
164684512863, 0
164684627404, 1
164684681310, 0
164684796346, 1
164684849518, 0
164684974086, 1
164685019218, 0
164685126723, 1
164685228659, 0
164685295331, 1
164685348175, 0
164685461586, 1
164685508527, 0
164685628991, 1
164685674430, 0
164685796639, 1
164685841332, 0
164685961956, 1
164686007775, 0
164686128663, 1
164686172163, 0
164686294516, 1
164686337738, 0
164686461441, 1
164686509427, 0
164686629029, 1
164686795668, 1
164686961159, 1
164687087834, 0
164687118036, 0
164687131885, 1
164687147196, 0
164687179248, 0
164687295197, 1
164687342183, 0
164687462049, 1
164687511124, 0
164687629927, 1
164687677220, 0
164687796650, 1
164687843184, 0
164687962474, 1
164688011829, 0
164688129144, 1
164688186429, 0
164688296866, 1
164688346368, 0
164688463033, 1
164688527201, 0
164688629878, 1
164688690656, 0
164688796888, 1
164688855203, 0
164688963133, 1
164689024605, 0
164689130676, 1
164689190940, 0
164689297950, 1
164689355467, 0
164689463094, 1
164689524219, 0
164689631075, 1
164689692731, 0
164689797132, 1
164689859949, 0
164689963629, 1
164690027720, 0
164690130724, 1
164690178652, 0
164690297455, 1
164690358947, 0
164690465059, 1
164690517577, 0
164690631862, 1
164690693455, 0
164690798647, 1
164690847815, 0
164690965667, 1
164691014124, 0
164691132211, 1
164691193955, 0
164691298946, 1
164691345968, 0
164691466614, 1
164691513009, 0
164691632861, 1
164691690960, 0
164691799823, 1
164691863394, 0
164691965346, 1
164692015328, 0
164692133185, 1
164692184904, 0
164692300301, 1
164692364869, 0
164692466990, 1
164692528495, 0
164692633167, 1
164692685121, 0
164692799349, 1
164692860404, 0
164693027851, 0
164693138034, 1
164693189741, 0
164693300489, 1
164693347765, 0
164693466604, 1
164693524328, 0
164693634014, 1
164693695673, 0
164693801068, 1
164693968469, 1
164694134733, 1
164694249677, 0
164694270653, 0
164694296830, 0
164694309601, 1
164694353166, 0
164694468239, 1
164694523698, 0
164694634323, 1
164694683878, 0
164694801785, 1
164694850814, 0
164694969460, 1
164695016591, 0
164695135557, 1
164695196161, 0
164695302304, 1
164695364701, 0
164695469053, 1
164695519500, 0
164695635370, 1
164695688258, 0
164695803044, 1
164695847093, 0
164695969821, 1
164696026584, 0
164696136614, 1
164696207352, 0
164696303471, 1
164696352020, 0
164696470158, 1
164696518007, 0
164696637202, 1
164696683717, 0
164696803768, 1
164696858522, 0
164696970468, 1
164697026001, 0
164697137529, 1
164697189279, 0
164697304234, 1
164697357707, 0
164697469918, 1
164697527692, 0
164697636730, 1
164697697265, 0
164697804639, 1
164697863234, 0
164697971268, 1
164698027307, 0
164698138072, 1
164698186426, 0
164698308188, 1
164698349831, 0
164698472088, 1
164698526498, 0
164698639316, 1
164698705055, 0
164698808163, 1
164698851766, 0
164698975227, 1
164699020350, 0
164699138134, 1
164699186038, 0
164699304822, 1
164699356442, 0
164699471509, 1
164699530542, 0
164699638346, 1
164699681638, 0
164699805069, 1
164699852978, 0
164699971661, 1
164700040559, 0
164700142743, 1
164700190709, 0
164700309609, 1
164700366420, 0
164700472165, 1
164700530864, 0
164700643579, 1
164700693451, 0
164700810204, 1
164700856407, 0
164700976735, 1
164701042135, 0
164701141562, 1
164701198064, 0
164701307261, 1
164701451868, 0
164701475189, 1
164701519790, 0
164701640661, 1
164701683794, 0
164701810846, 1
164701862663, 0
164701975800, 1
164702024062, 0
164702141107, 1
164702188970, 0
164702309397, 1
164702362838, 0
164702474542, 1
164702519465, 0
164702641378, 1
164702690637, 0
164702808108, 1
164702855984, 0
164702974969, 1
164703023565, 0
164703140562, 1
164703195156, 0
164703308136, 1
164703359081, 0
164703475359, 1
164703522082, 0
164703642331, 1
164703691714, 0
164703807622, 1
164703865278, 0
164703974643, 1
164704030059, 0
164704142686, 1
164704204555, 0
164704309174, 1
164704377888, 0
164704474946, 1
164704537101, 0
164704642534, 1
164704702032, 0
164704808957, 1
164704869425, 0
164704976162, 1
164705036222, 0
164705143051, 1
164705202839, 0
164705309809, 1
164705373259, 0
164705476538, 1
164705537347, 0
164705643261, 1
164705700160, 0
164705809330, 1
164705865639, 0
164705976267, 1
164706038841, 0
164706147055, 1
164706197838, 0
164706310736, 1
164706370486, 0
164706477245, 1
164706536776, 0
164706643351, 1
164706699078, 0
164706872597, 0
164706977913, 1
164707034697, 0
164707145279, 1
164707193816, 0
164707311872, 1
164707373917, 0
164707478229, 1
164707529534, 0
164707644864, 1
164707697775, 0
164707810980, 1
164707862005, 0
164707978757, 1
164708028638, 0
164708145043, 1
164708205311, 0
164708312073, 1
164708391005, 0
164708478717, 1
164708535051, 0
164708645594, 1
164708703870, 0
164708812535, 1
164708875008, 0
164708979092, 1
164709038068, 0
164709145737, 1
164709205312, 0
164709312082, 1
164709378099, 0
164709479561, 1
164709543312, 0
164709646084, 1
164709704293, 0
164709813316, 1
164709866226, 0
164709980235, 1
164710041939, 0
164710146732, 1
164710302923, 0
164710314505, 1
164710378938, 0
164710479974, 1
164710527495, 0
164710646378, 1
164710702254, 0
164710813190, 1
164710869835, 0
164710980711, 1
164711030329, 0
164711147292, 1
164711197392, 0
164711314308, 1
164711365389, 0
164711481487, 1
164711527281, 0
164711647883, 1
164711814824, 1
164711982079, 1
164712093145, 0
164712117104, 0
164712137747, 0
