Time,Status
163970183129, 0
163970231450, 0
163970262139, 0
163970525091, 0
163970657745, 0
163970829467, 0
163971006519, 0
163971147888, 0
163971316129, 0
163971484994, 0
163971594280, 1
163971663157, 0
163971830523, 0
163971986867, 0
163972145317, 1
163972170242, 0
163972271651, 1
163972319977, 0
163972405785, 1
163972494421, 0
163972548085, 1
163972656811, 0
163972671874, 1
163972785273, 1
163972823638, 0
163972909793, 1
163972983383, 0
163973043435, 1
163973163257, 1
163973222079, 0
163973297009, 1
163973338842, 0
163973429258, 1
163973489845, 0
163973552167, 1
163973650739, 0
163973682249, 1
163973800019, 1
163973841123, 0
163973941237, 1
163973993131, 0
163974082848, 1
163974149386, 0
163974249196, 1
163974319743, 0
163974416728, 1
163974488241, 0
163974544905, 1
163974666710, 0
163974670886, 1
163974784352, 1
163974816409, 0
163974916645, 1
163974989099, 0
163975084872, 1
163975170904, 0
163975249786, 1
163975340147, 0
163975417763, 1
163975485589, 0
163975586677, 1
163975651019, 0
163975750624, 1
163975826020, 0
163975919730, 1
163975996365, 0
163976085283, 1
163976157129, 0
163976253421, 1
163976322360, 0
163976433913, 1
163976498191, 0
163976584751, 1
163976671985, 0
163976752312, 1
163976819487, 0
163976919399, 1
163976987995, 0
163977085708, 1
163977153677, 0
163977253025, 1
163977339212, 0
163977418441, 1
163977583207, 0
163977585351, 1
163977676440, 0
163977753400, 1
163977811263, 0
163977920096, 1
163977969979, 0
163978086955, 1
163978157572, 0
163978253959, 1
163978310153, 0
163978426150, 1
163978487708, 0
163978587053, 1
163978638985, 0
163978753265, 1
163978814870, 0
163978921784, 1
163978977623, 0
163979087914, 1
163979151709, 0
163979257195, 1
163979319836, 0
163979429954, 1
163979476055, 0
163979611529, 1
163979652011, 0
163979757271, 1
163979827480, 0
163979939764, 1
163979973666, 0
163980088614, 1
163980154773, 0
163980261443, 1
163980386586, 0
163980423631, 1
163980483728, 0
163980589516, 1
163980654556, 0
163980762209, 1
163980821954, 0
163980925954, 1
163980985832, 0
163981095335, 1
163981135396, 0
163981258456, 1
163981317506, 0
163981437072, 1
163981489982, 0
163981594474, 1
163981643689, 0
163981759105, 1
163981824974, 0
163981922422, 1
163981985214, 0
163982091061, 1
163982149360, 0
163982256316, 1
163982318110, 0
163982435361, 1
163982488191, 0
163982595895, 1
163982665904, 0
163982761373, 1
163982812859, 0
163982932621, 1
163982992926, 0
163983093884, 1
163983169751, 0
163983261436, 1
163983336852, 0
163983427690, 1
163983474852, 0
163983593667, 1
163983659608, 0
163983760998, 1
163983827018, 0
163983927952, 1
163983987717, 0
163984091485, 1
163984142872, 0
163984258153, 1
163984311631, 0
163984437464, 1
163984476481, 0
163984643103, 0
163984812361, 0
163984874016, 1
163984986530, 0
163984990332, 1
163985090462, 1
163985207635, 1
163985306456, 1
163985337257, 0
163985424969, 1
163985501077, 0
163985591922, 1
163985657892, 0
163985768736, 1
163985821997, 0
163985924493, 1
163986000775, 0
163986092491, 1
163986162965, 0
163986258264, 1
163986349032, 0
163986426482, 1
163986495172, 0
163986593024, 1
163986650954, 0
163986758195, 1
163986816727, 0
163986925931, 1
163986991831, 0
163987093275, 1
163987164768, 0
163987259275, 1
163987316756, 0
163987426081, 1
163987490921, 0
163987593397, 1
163987654417, 0
163987759705, 1
163987835112, 0
163987927090, 1
163987999555, 0
163988093914, 1
163988155662, 0
163988260204, 1
163988320978, 0
163988427889, 1
163988486192, 0
163988594219, 1
163988668859, 0
163988761162, 1
163988836280, 0
163988928263, 1
163989007661, 0
163989094093, 1
163989157928, 0
163989261517, 1
163989319998, 0
163989427974, 1
163989505434, 0
163989594280, 1
163989674470, 0
163989764300, 1
163989819830, 0
163989929453, 1
163989990384, 0
163990095488, 1
163990168587, 0
163990262066, 1
163990332859, 0
163990429474, 1
163990502836, 0
163990595797, 1
163990668820, 0
163990762553, 1
163990839678, 0
163990928855, 1
163991007982, 0
163991096116, 1
163991173911, 0
163991262863, 1
163991342503, 0
163991429451, 1
163991505659, 0
163991596408, 1
163991672479, 0
163991763560, 1
163991838057, 0
163991931294, 1
163992008176, 0
163992096236, 1
163992174080, 0
163992263730, 1
163992344842, 0
163992429728, 1
163992508664, 0
163992597506, 1
163992671320, 0
163992764098, 1
163992837743, 0
163992930449, 1
163993010986, 0
163993097692, 1
163993260762, 0
163993263995, 1
163993330009, 0
163993432152, 1
163993492416, 0
163993598421, 1
163993658904, 0
163993765112, 1
163993824989, 0
163993930576, 1
163993990531, 0
163994098913, 1
163994154791, 0
163994265658, 1
163994323376, 0
163994431016, 1
163994493739, 0
163994599081, 1
163994657140, 0
163994766005, 1
163994825100, 0
163994931672, 1
163994990065, 0
163995099467, 1
163995162008, 0
163995266245, 1
163995338055, 0
163995432429, 1
163995577626, 0
163995600446, 1
163995670990, 0
163995766393, 1
163995827189, 0
163995991730, 0
163996100384, 1
163996158961, 0
163996269857, 1
163996328114, 0
163996433223, 1
163996495040, 0
163996601626, 1
163996660653, 0
163996768058, 1
163996823444, 0
163996934115, 1
163996992447, 0
163997104512, 1
163997160743, 0
163997271645, 1
163997324057, 0
163997434139, 1
163997503067, 0
163997605418, 1
163997660223, 0
163997771288, 1
163997834177, 0
163997934931, 1
163998004926, 0
163998102614, 1
163998177778, 0
163998271207, 1
163998328015, 0
163998435076, 1
163998505888, 0
163998606381, 1
163998665752, 0
163998768943, 1
163998840136, 0
163998935214, 1
163999026755, 0
163999105596, 1
163999168518, 0
163999273449, 1
163999333838, 0
163999438350, 1
163999497812, 0
163999606100, 1
163999670133, 0
163999769644, 1
163999838507, 0
163999937523, 1
164000007246, 0
164000104928, 1
164000170645, 0
164000273371, 1
164000335103, 0
164000440623, 1
164000507983, 0
164000603199, 1
164000660075, 0
164000770478, 1
164000833147, 0
164000937019, 1
164000997399, 0
164001108245, 1
164001168215, 0
164001270923, 1
164001349256, 0
164001437304, 1
164001501336, 0
164001608324, 1
