Iteration,File,Average Queue Size (Dequeue),Std Dev Queue Size,Interrupt Count (Dequeue Rate),Interrupt Magnitude
13,jitter_values_20241127_165649.csv,8.962623413,0.250643548,1,36.4117
11,jitter_values_20241127_165536.csv,9.957657022,0.25964369,0,0
6,jitter_values_20241127_165236.csv,8.955571227,0.268560799,0,0
2,jitter_values_20241127_165011.csv,8.948519041,0.287644769,0,0
15,jitter_values_20241127_165801.csv,8.976005646,0.306686538,0,0
1,jitter_values_20241127_164935.csv,8.949965254,0.321243129,0,0
4,jitter_values_20241127_165124.csv,8.935825106,0.322262736,0,0
7,jitter_values_20241127_165312.csv,8.925246827,0.338200814,0,0
5,jitter_values_20241127_165200.csv,9.928118393,0.364763265,0,0
14,jitter_values_20241127_165725.csv,9.035236082,0.392308092,0,0
20,jitter_values_20241127_170101.csv,9.916784203,0.39239465,0,0
12,jitter_values_20241127_165612.csv,9.863892807,0.463738994,0,0
16,jitter_values_20241127_165837.csv,9.72900494,0.556127841,0,0
3,jitter_values_20241127_165047.csv,9.771347918,0.561171045,0,0
17,jitter_values_20241127_165913.csv,9.690190543,0.561848272,0,0
10,jitter_values_20241127_165500.csv,11.43462898,0.578799897,0,0
19,jitter_values_20241127_170025.csv,9.602961918,0.611272352,0,0
9,jitter_values_20241127_165424.csv,9.428672316,0.611316082,0,0
18,jitter_values_20241127_165949.csv,9.74204947,0.93903561,0,0
8,jitter_values_20241127_165348.csv,12.621545,0.986398648,0,0
