Iteration,File,Buffer Size,Added Jitter Magnitude,Average Queue Size,Std Dev Queue Size,Interrupt Count,Interrupts Magnitude(ms)
1,jitter_values_20250121_215255.csv,2,20,3.7099817407181983,0.6055583731977509,1,49.6395
2,jitter_values_20250121_215416.csv,2,20,4.272810497406164,0.8936260890851823,2,"35.7674, 34.1494"
3,jitter_values_20250121_215537.csv,2,20,4.544095209032652,0.9056325985911095,1,35.2488
4,jitter_values_20250121_215658.csv,2,20,5.007018614586512,1.2075311309415893,2,"36.9895, 37.8131"
5,jitter_values_20250121_215820.csv,2,20,2.9308137762877173,0.3480322416454978,1,51.3588
6,jitter_values_20250121_215941.csv,2,20,3.8109756097560976,0.4941885133100958,0,
7,jitter_values_20250121_220102.csv,2,20,2.910393172813167,0.3644472898449466,0,
8,jitter_values_20250121_220223.csv,2,20,2.840500152485514,0.5308027408078759,1,47.5638
9,jitter_values_20250121_220344.csv,2,20,3.0933496034167174,0.8318197054558433,1,34.702
10,jitter_values_20250121_220505.csv,2,20,2.9158536585365855,0.3939058524605245,0,
11,jitter_values_20250121_220627.csv,2,20,2.9387381895763487,0.28621072321061936,1,34.1073
12,jitter_values_20250121_220748.csv,2,20,2.9292251372788285,0.5686286046588042,0,
13,jitter_values_20250121_220909.csv,2,20,2.0724725943970768,0.8576316166082737,7,"33.5089, 33.6589, 34.7396, 48.6123, 34.0016, 34.1854, 34.4683"
14,jitter_values_20250121_221030.csv,2,20,2.8799146601645838,0.41271202093843495,1,34.3005
15,jitter_values_20250121_221151.csv,2,20,2.7915904936014626,0.5165496086620334,1,36.0016
16,jitter_values_20250121_221313.csv,2,20,4.578706528370958,1.0401159702248208,2,"50.0409, 34.9724"
17,jitter_values_20250121_221434.csv,2,20,2.9259146341463413,0.36338907276640353,1,47.8243
18,jitter_values_20250121_221555.csv,2,20,2.752439024390244,0.6517811680348262,1,52.0813
19,jitter_values_20250121_221716.csv,2,20,2.997866504114599,0.3167022653160885,1,33.6342
20,jitter_values_20250121_221837.csv,2,20,2.94390243902439,0.30231295462055263,0,
21,jitter_values_20250121_221959.csv,2,40,5.085164835164835,1.0043020455895082,1,83.6545
22,jitter_values_20250121_222120.csv,2,40,5.256558877364246,1.1895735092904924,1,83.4064
23,jitter_values_20250121_222241.csv,2,40,4.911836485661989,0.5948411994774429,1,84.1874
24,jitter_values_20250121_222402.csv,2,40,5.5422384873437025,0.9162454839799405,2,"66.8827, 34.5029"
25,jitter_values_20250121_222523.csv,2,40,5.52030534351145,1.2082236660490997,1,80.8539
26,jitter_values_20250121_222645.csv,2,40,5.59640024405125,0.8919395472220234,1,82.6562
27,jitter_values_20250121_222806.csv,2,40,5.523039365273116,0.8249598591488697,2,"81.9316, 35.0817"
28,jitter_values_20250121_222927.csv,2,40,4.787195121951219,0.865710558621599,1,84.0789
29,jitter_values_20250121_223048.csv,2,40,4.215112736136502,1.3545649515438976,6,"97.5847, 99.8682, 33.8531, 34.069, 50.8575, 35.4767"
30,jitter_values_20250121_223209.csv,2,40,5.311565456209948,0.9744745412923187,1,84.5988
31,jitter_values_20250121_223330.csv,2,40,5.266320927394753,1.0706649405046713,1,85.8508
32,jitter_values_20250121_223452.csv,2,40,4.87522879804759,1.0504468988656328,1,83.1738
33,jitter_values_20250121_223613.csv,2,40,4.836790726052471,0.7120916163498212,1,65.6991
34,jitter_values_20250121_223734.csv,2,40,5.590784253890754,1.0003420789249942,2,"86.1245, 35.5156"
35,jitter_values_20250121_223855.csv,2,40,4.880451357121074,0.6343668282032627,1,83.0628
36,jitter_values_20250121_224016.csv,2,40,5.54684162343607,1.0220493147751162,2,"69.84129, 34.7951"
37,jitter_values_20250121_224138.csv,2,40,4.912778286062824,0.5837578370076383,1,69.4827
38,jitter_values_20250121_224259.csv,2,40,4.713282442748092,1.088307969993116,1,73.3025
39,jitter_values_20250121_224420.csv,2,40,5.285321940799512,1.0950303971216544,1,84.0976
40,jitter_values_20250121_224541.csv,2,40,5.518608907870653,0.8294188134390437,1,84.1861
41,jitter_values_20250121_224703.csv,10,20,9.022602321319487,0.3399859040869278,0,
42,jitter_values_20250121_224824.csv,10,20,11.99205378973105,0.28719401647289183,0,
43,jitter_values_20250121_224945.csv,10,20,9.106870229007633,0.41820054780193094,0,
44,jitter_values_20250121_225106.csv,10,20,8.959670027497708,0.2585201228551787,0,
45,jitter_values_20250121_225227.csv,10,20,9.951726245035136,0.2618655720919632,0,
46,jitter_values_20250121_225348.csv,10,20,9.321624923640806,0.5120989426285874,0,
47,jitter_values_20250121_225510.csv,10,20,9.334860983806905,0.5531064643676799,1,33.9838
48,jitter_values_20250121_225631.csv,10,20,9.548869883934026,0.556241374237162,0,
49,jitter_values_20250121_225752.csv,10,20,8.908340971585702,0.6980811745389162,1,35.2436
50,jitter_values_20250121_225913.csv,10,20,9.946837763519706,0.2768303009818396,0,
51,jitter_values_20250121_230034.csv,10,20,2.3868212324588165,0.8485408461978866,5,"35.0469, 37.2206, 51.6918, 33.6986, 34.3319"
52,jitter_values_20250121_230156.csv,10,20,9.24625725633975,0.5493707923977944,0,
53,jitter_values_20250121_230317.csv,10,20,8.943171402383134,0.30950206521941076,0,
54,jitter_values_20250121_230438.csv,10,20,8.973129770992367,0.22627863784461888,0,
55,jitter_values_20250121_230559.csv,10,20,9.925190839694656,0.3685364389296319,0,
56,jitter_values_20250121_230720.csv,10,20,9.85125229077581,0.4326146943382227,0,
57,jitter_values_20250121_230841.csv,10,20,9.491597922395355,0.5755880757149314,0,
58,jitter_values_20250121_231003.csv,10,20,10.097158570119158,0.4300393648830942,0,
59,jitter_values_20250121_231124.csv,10,20,9.12,0.4482505190122445,0,
60,jitter_values_20250121_231245.csv,10,20,10.638447432762836,0.5647560063162361,0,
61,jitter_values_20250121_231407.csv,10,40,10.093492208982585,0.840121546402438,0,
62,jitter_values_20250121_231528.csv,10,40,9.802137404580153,0.7068443293800751,0,
63,jitter_values_20250121_231649.csv,10,40,9.620837152459517,0.8593756806980654,0,
64,jitter_values_20250121_231810.csv,10,40,9.899816737935247,0.6589393031281989,0,
65,jitter_values_20250121_231932.csv,10,40,8.832620647525962,0.7691492863946832,0,
66,jitter_values_20250121_232053.csv,10,40,11.919034524900702,0.6044719626554385,0,
67,jitter_values_20250121_232214.csv,10,40,8.834453268173489,0.7354399244519286,0,
68,jitter_values_20250121_232335.csv,10,40,9.762981062919975,0.7695061535730373,0,
69,jitter_values_20250121_232456.csv,10,40,4.2778793418647165,0.9569480021841819,10,"71.0041, 107.1036, 54.0823, 56.3594, 36.1832, 49.977, 50.5339, 33.3986, 34.1945, 33.9511"
70,jitter_values_20250121_232617.csv,10,40,9.478924862553452,0.7629212465581213,0,
71,jitter_values_20250121_232739.csv,10,40,8.979535736102626,0.7210401079342853,0,
72,jitter_values_20250121_232900.csv,10,40,12.24204406364749,1.4352191606420335,0,
73,jitter_values_20250121_233021.csv,10,40,8.865954198473283,0.6632314528333373,0,
74,jitter_values_20250121_233142.csv,10,40,8.82376298106292,0.7729207128649029,0,
75,jitter_values_20250121_233303.csv,10,40,9.841221374045801,0.7330731112722091,0,
76,jitter_values_20250121_233424.csv,10,40,12.557798165137614,0.9558270914829647,0,
77,jitter_values_20250121_233545.csv,10,40,9.833791628475405,0.8299082795174169,0,
78,jitter_values_20250121_233707.csv,10,40,9.821570424686831,0.6670275651135911,0,
79,jitter_values_20250121_233828.csv,10,40,9.621869273060476,0.8679854639758368,0,
80,jitter_values_20250121_233949.csv,10,40,14.086291309669523,1.139714366435486,0,
81,jitter_values_20250121_234110.csv,10,0,8.990839694656488,0.11289113211023674,0,
82,jitter_values_20250121_234230.csv,10,0,9.878167938931298,0.3271416945951313,0,
83,jitter_values_20250121_234351.csv,10,0,8.986560781918143,0.1324389584986227,0,
84,jitter_values_20250121_234512.csv,10,0,9.990223036969141,0.10732228897665966,0,
85,jitter_values_20250121_234632.csv,10,0,8.993282442748091,0.08169742763689472,0,
86,jitter_values_20250121_234753.csv,10,0,8.5510391198044,0.5114035771959125,0,
87,jitter_values_20250121_234914.csv,10,0,8.996335877862595,0.06043021928872834,0,
88,jitter_values_20250121_235034.csv,10,0,8.994198473282443,0.10614844637198338,0,
89,jitter_values_20250121_235155.csv,10,0,8.99175572519084,0.09375328066775047,0,
90,jitter_values_20250121_235316.csv,10,0,8.989920586438608,0.111467969683425,0,
91,jitter_values_20250121_235436.csv,10,0,8.992366412213741,0.08704958301963506,0,
92,jitter_values_20250121_235557.csv,10,0,9.84056200366524,0.36863484454658946,0,
93,jitter_values_20250121_235718.csv,10,0,9.989611976779713,0.1014063806544835,0,
94,jitter_values_20250121_235839.csv,10,0,10.012828344532682,0.21081455624517006,0,
95,jitter_values_20250121_235959.csv,10,0,8.994809160305344,0.07187121900536186,0,
96,jitter_values_20250122_000120.csv,10,0,9.75160403299725,0.5915702858193729,0,
97,jitter_values_20250122_000240.csv,10,0,8.993282442748091,0.09548803003092551,0,
98,jitter_values_20250122_000401.csv,10,0,9.087687137183012,0.3087130156760847,0,
99,jitter_values_20250122_000522.csv,10,0,9.947786259541985,0.23058148744505946,0,
100,jitter_values_20250122_000642.csv,10,0,9.942272449602932,0.23972275779201263,0,
101,jitter_values_20250122_000803.csv,2,0,3.8482905982905984,1.5558410432504748,0,
102,jitter_values_20250122_000924.csv,2,0,2.0511882998171846,0.2585922817676383,0,
103,jitter_values_20250122_001044.csv,2,0,2.258988421694089,0.7775930637165083,1,36.1855
104,jitter_values_20250122_001205.csv,2,0,1.8424741011578305,0.4899349987982325,1,34.9971
105,jitter_values_20250122_001326.csv,2,0,1.0353335363996345,0.2034897474667547,0,
106,jitter_values_20250122_001446.csv,2,0,1.7819067925677734,0.41375101638347234,0,
107,jitter_values_20250122_001607.csv,2,0,1.972890648796832,0.16429198059598946,0,
108,jitter_values_20250122_001728.csv,2,0,2.196401341872522,0.6354192612230772,1,36.8694
109,jitter_values_20250122_001848.csv,2,0,1.7879341864716636,0.41695336043775283,1,34.7855
110,jitter_values_20250122_002009.csv,2,0,1.9966483851310177,0.10614053388784182,0,
111,jitter_values_20250122_002130.csv,2,0,2.794512195121951,0.4360617017343832,1,33.8638
112,jitter_values_20250122_002250.csv,2,0,2.991468616697136,0.10440046871923536,0,
