Run Number,Run Start Time,Run End Time,Jitter.py Run Duration (s),"Unity,exe Run Duration (s)",Server Restart Duration (s),Total Script Run Duration (s),Unity.exe Stop Duration (s),Buffer Size,Jitter Magnitude
1,'2025-01-24 10:14:15,'2025-01-24 10:15:28,3.84,30,15.72402548789978,50.99353647232056,1.42,10,20
2,'2025-01-24 10:15:28,'2025-01-24 10:16:40,3.86,30,15.78914189338684,123.46691608428955,1.11,10,20
3,'2025-01-24 10:16:40,'2025-01-24 10:17:53,3.91,30,15.767932653427124,195.89635276794434,1.11,10,20
4,'2025-01-24 10:17:53,'2025-01-24 10:19:05,3.82,30,15.74726676940918,268.33995723724365,1.11,10,20
5,'2025-01-24 10:19:05,'2025-01-24 10:20:17,3.82,30,15.758609533309937,340.7045965194702,1.12,10,20
1,'2025-01-24 10:20:17,'2025-01-24 10:21:29,3.32,30,15.728519201278687,50.17025399208069,1.12,10,0
2,'2025-01-24 10:21:29,'2025-01-24 10:22:41,3.35,30,15.786203622817993,122.14172744750977,1.11,10,0
3,'2025-01-24 10:22:41,'2025-01-24 10:23:53,3.35,30,15.779751539230347,194.0747754573822,1.11,10,0
4,'2025-01-24 10:23:53,'2025-01-24 10:25:05,3.36,30,15.692083597183228,265.8700113296509,1.11,10,0
5,'2025-01-24 10:25:05,'2025-01-24 10:26:17,3.34,30,15.783054113388062,337.76336550712585,1.12,10,0
1,'2025-01-24 10:26:17,'2025-01-24 10:27:29,3.31,30,15.753185749053955,50.180211305618286,1.11,10,0
