Iteration,File,Buffer Size,Added Jitter Magnitude,Average Queue Size,Std Dev Queue Size,Interrupt Count,Interrupts Magnitude(ms),Policy
1,jitter_values_20250127_212746.csv,10,20,5.415871935,0.833543036,0,,0
2,jitter_values_20250127_212902.csv,10,20,8.942219505,0.292662295,0,,0
3,jitter_values_20250127_213017.csv,10,20,9.931540342,0.340241537,0,,0
4,jitter_values_20250127_213132.csv,10,20,9.121981046,0.709983323,0,,0
5,jitter_values_20250127_213247.csv,10,20,9.967288291,0.257902529,0,,0
6,jitter_values_20250127_213403.csv,10,20,3.370336391,0.81596989,0,,2
7,jitter_values_20250127_213518.csv,10,20,3.117665037,0.830424775,0,,2
8,jitter_values_20250127_213633.csv,10,20,3.27178233,0.796664589,1,35.9471,2
9,jitter_values_20250127_213749.csv,10,20,3.189180929,1.043812036,1,39.5308,2
10,jitter_values_20250127_213904.csv,10,20,3.235618115,0.848949017,2,"36.2573, 34.6371",2
11,jitter_values_20250127_214019.csv,10,0,9.767655151,0.446329891,1,38.563,0
12,jitter_values_20250127_214133.csv,10,0,8.977071232,0.153730713,0,,0
13,jitter_values_20250127_214248.csv,10,0,9.950183374,0.22856262,0,,0
14,jitter_values_20250127_214403.csv,10,0,9.680220116,0.471029272,0,,0
15,jitter_values_20250127_214518.csv,10,0,9.341381418,0.496295342,0,,0
16,jitter_values_20250127_214633.csv,10,0,2.349831958,0.978129172,0,,2
17,jitter_values_20250127_214747.csv,10,0,2.793461656,0.912488081,0,,2
18,jitter_values_20250127_214902.csv,10,0,2.370223173,1.362972527,0,,2
19,jitter_values_20250127_215017.csv,10,0,2.58111824,0.942852586,0,,2
20,jitter_values_20250127_215132.csv,10,0,1.822684194,1.219509707,0,,2
