Run Number,Run Start Time,Run End Time,Jitter.py Run Duration (s),"Unity,exe Run Duration (s)",Server Restart Duration (s),Total Script Run Duration (s),Unity.exe Stop Duration (s),Buffer Size,Jitter Magnitude,Policy
1,'2025-01-27 21:26:32,'2025-01-27 21:27:48,3.91,60,9.69357419,74.96432281,1.35,10,20,0
2,'2025-01-27 21:27:48,'2025-01-27 21:29:03,3.87,60,9.762397766,150.4217644,1.11,10,20,0
3,'2025-01-27 21:29:03,'2025-01-27 21:30:19,3.8,60,9.748976946,225.6880906,1.11,10,20,0
4,'2025-01-27 21:30:19,'2025-01-27 21:31:34,3.82,60,9.697664976,300.9624755,1.11,10,20,0
5,'2025-01-27 21:31:34,'2025-01-27 21:32:49,3.8,60,9.733919859,376.2630739,1.11,10,20,0
1,'2025-01-27 21:32:49,'2025-01-27 21:34:05,3.82,60,9.760718584,74.68459654,1.11,10,20,2
2,'2025-01-27 21:34:05,'2025-01-27 21:35:20,3.8,60,9.769601345,150.0330486,1.11,10,20,2
3,'2025-01-27 21:35:20,'2025-01-27 21:36:35,3.81,60,9.772333145,225.3683498,1.11,10,20,2
4,'2025-01-27 21:36:35,'2025-01-27 21:37:50,3.79,60,9.715159655,300.6315701,1.11,10,20,2
5,'2025-01-27 21:37:50,'2025-01-27 21:39:06,3.85,60,9.77276206,375.9521835,1.11,10,20,2
1,'2025-01-27 21:39:06,'2025-01-27 21:40:20,3.29,60,9.72904253,74.12736654,1.1,10,0,0
2,'2025-01-27 21:40:20,'2025-01-27 21:41:35,3.29,60,9.725736141,148.8565452,1.11,10,0,0
3,'2025-01-27 21:41:35,'2025-01-27 21:42:50,3.3,60,9.740101099,223.6344013,1.11,10,0,0
4,'2025-01-27 21:42:50,'2025-01-27 21:44:05,3.3,60,9.690477133,298.4226174,1.11,10,0,0
5,'2025-01-27 21:44:05,'2025-01-27 21:45:20,3.29,60,9.73784852,373.1404269,1.11,10,0,0
1,'2025-01-27 21:45:20,'2025-01-27 21:46:34,3.28,60,9.795717478,74.18612909,1.11,10,0,2
2,'2025-01-27 21:46:34,'2025-01-27 21:47:49,3.29,60,9.749987125,148.9204464,1.11,10,0,2
3,'2025-01-27 21:47:49,'2025-01-27 21:49:04,3.34,60,9.730166197,223.7418666,1.11,10,0,2
4,'2025-01-27 21:49:04,'2025-01-27 21:50:19,3.32,60,9.712336779,298.4990776,1.11,10,0,2
5,'2025-01-27 21:50:19,'2025-01-27 21:51:33,3.26,60,9.776272774,373.2483804,1.11,10,0,2
