Iteration,File,Buffer Size,Jitter Magnitude,Policy,Base Length for Thresholding,Average Queue Size,Std Dev Queue Size,Average Frame Time,Std Dev Frame Time,Interrupt Count,Interrupts Magnitude(ms),Interrupt Mag (ms/s),Std Interrupt Mag,Interrupt Frequency (/s)
1,jitter_values_20250129_231658.csv,10,40,0,3,8.862367392518147,0.6761478856593507,16.67645491345617,1.3614999725566865,0,,0.0,0.0,0.0
2,jitter_values_20250129_231818.csv,10,40,0,3,9.748809857182861,0.7532715652076798,16.68227241669,1.4076087018174566,0,,0.0,0.0,0.0
3,jitter_values_20250129_231938.csv,10,40,0,3,10.15141337811363,0.8605262463260774,16.6841998040862,1.9654290701825834,0,,0.0,0.0,0.0
4,jitter_values_20250129_232059.csv,10,40,0,3,8.853665360940123,0.689058664153719,16.679609233351986,1.2851736179445363,0,,0.0,0.0,0.0
5,jitter_values_20250129_232219.csv,10,40,0,3,9.778897285194514,0.7574432547983697,16.682102910719284,1.6804235584178813,0,,0.0,0.0,0.0
6,jitter_values_20250129_232339.csv,10,40,0,3,9.221942345368038,0.8370948603268635,16.68038527847747,1.5355193599688697,0,,0.0,0.0,0.0
7,jitter_values_20250129_232459.csv,10,40,0,3,9.218645016797312,1.0490942662984644,16.686077519596864,1.6354972096365308,0,,0.0,0.0,0.0
8,jitter_values_20250129_232619.csv,10,40,0,3,8.827972027972027,0.7575774272342332,16.678068979020978,1.3933775446835923,0,,0.0,0.0,0.0
9,jitter_values_20250129_232740.csv,10,40,0,3,4.400949986029617,1.0833921804032145,16.659442749371333,2.639794957939099,11,"84.856, 68.0142, 63.6725, 35.1236, 35.2801, 49.668, 35.1056, 37.1313, 33.9105, 33.6573, 34.3745",2.3379590894018376,17.00882359775859,0.17843681744395365
10,jitter_values_20250129_232900.csv,10,40,0,3,9.4575986565911,0.8269715314969249,16.681951721242655,1.7121725864072328,0,,0.0,0.0,0.0
11,jitter_values_20250129_233020.csv,10,40,0,3,8.898124825076966,0.6589289887278407,16.680230422614052,1.7162482529491871,0,,0.0,0.0,0.0
12,jitter_values_20250129_233140.csv,10,40,0,3,10.268627450980393,0.9704785419116471,16.691578655462184,1.6422021922952275,0,,0.0,0.0,0.0
13,jitter_values_20250129_233301.csv,10,40,0,3,10.251889168765743,0.7907110051390768,16.684006381192276,1.6025809293761204,0,,0.0,0.0,0.0
14,jitter_values_20250129_233421.csv,10,40,0,3,8.852504897844948,0.7077538246098009,16.680169913238174,1.4909199837327038,0,,0.0,0.0,0.0
15,jitter_values_20250129_233541.csv,10,40,0,3,8.866853146853147,0.7269344641284303,16.678879832167834,1.660860408313294,0,,0.0,0.0,0.0
16,jitter_values_20250129_233701.csv,10,40,0,3,10.980947043989913,1.115612854029587,16.696855898010647,1.5345692147174415,0,,0.0,0.0,0.0
17,jitter_values_20250129_233821.csv,10,40,0,3,9.205709487825358,0.7315868727015077,16.680920011195074,1.9115013064156319,0,,0.0,0.0,0.0
18,jitter_values_20250129_233942.csv,10,40,0,3,8.838041958041957,0.727050732923519,16.679208027972027,1.2300070411352095,0,,0.0,0.0,0.0
19,jitter_values_20250129_234102.csv,10,40,0,3,8.86965034965035,0.6634719566007268,16.67957944055944,1.1801117396397263,0,,0.0,0.0,0.0
20,jitter_values_20250129_234222.csv,10,40,0,3,8.8978163493841,0.5796181033788943,16.679369736842105,1.5471334580742688,0,,0.0,0.0,0.0
21,jitter_values_20250129_234342.csv,10,20,0,3,10.196523689374825,1.3358213378264063,16.71404953742641,1.7693727657403866,0,,0.0,0.0,0.0
22,jitter_values_20250129_234503.csv,10,20,0,3,8.951301427371956,0.2876354777746823,16.679061684858663,1.3682451341186557,0,,0.0,0.0,0.0
23,jitter_values_20250129_234623.csv,10,20,0,3,9.567908148977878,0.8355347293787382,16.6913695883506,1.652393196000794,0,,0.0,0.0,0.0
24,jitter_values_20250129_234743.csv,10,20,0,3,9.897005317660229,0.40987869893915563,16.67937629443045,1.372366201771348,0,,0.0,0.0,0.0
25,jitter_values_20250129_234903.csv,10,20,0,3,9.818359921634482,0.4747592037561459,16.67883929471033,1.4092245910237216,0,,0.0,0.0,0.0
26,jitter_values_20250129_235024.csv,10,20,0,3,9.209569110240627,0.5030087855609096,16.680910044767767,1.6187063309137033,0,,0.0,0.0,0.0
27,jitter_values_20250129_235144.csv,10,20,0,3,8.959988808058197,0.2477316060926443,16.678579826524903,1.3567662570422323,0,,0.0,0.0,0.0
28,jitter_values_20250129_235304.csv,10,20,0,3,8.987125664707529,0.258888885062035,16.6800418415897,1.6629818062525046,0,,0.0,0.0,0.0
29,jitter_values_20250129_235424.csv,10,20,0,3,9.50699496362619,0.5696211628935162,16.679076440962504,1.6054706326450094,0,,0.0,0.0,0.0
30,jitter_values_20250129_235544.csv,10,20,0,3,9.992723201791211,0.32436120495280485,16.68358553036664,1.7013541313950105,0,,0.0,0.0,0.0
31,jitter_values_20250129_235705.csv,10,20,0,3,8.959440559440559,0.28832868508565634,16.676503664335666,1.701370214366996,0,,0.0,0.0,0.0
32,jitter_values_20250129_235825.csv,10,20,0,3,9.751959686450167,0.5125794450980864,16.68910422732363,1.6129182557243513,0,,0.0,0.0,0.0
33,jitter_values_20250129_235945.csv,10,20,0,3,8.554995801847188,0.5540352138442637,16.689384942625242,1.5256882534337444,0,,0.0,0.0,0.0
34,jitter_values_20250130_000105.csv,10,20,0,3,8.971452560873216,0.2288587007953822,16.68206241253848,1.3128549104130411,0,,0.0,0.0,0.0
35,jitter_values_20250130_000225.csv,10,20,0,3,9.619820828667413,0.5698768665682641,16.682945352743562,1.6715135157327305,0,,0.0,0.0,0.0
36,jitter_values_20250130_000346.csv,10,20,0,3,9.951287793952968,0.2807778510951112,16.680149440089586,1.2625987938864052,0,,0.0,0.0,0.0
37,jitter_values_20250130_000506.csv,10,20,0,3,9.393896976483763,0.5750304568869536,16.678035246360583,1.5816555095486506,0,,0.0,0.0,0.0
38,jitter_values_20250130_000626.csv,10,20,0,3,10.433930571108622,0.5717633791545825,16.68486643337066,1.5531726976596492,0,,0.0,0.0,0.0
39,jitter_values_20250130_000746.csv,10,20,0,3,8.947692307692307,0.3231500928722634,16.676333734265736,1.5195557231990569,0,,0.0,0.0,0.0
40,jitter_values_20250130_000907.csv,10,20,0,3,9.457878533445284,0.5646627191178523,16.681548894486426,1.387703262950879,0,,0.0,0.0,0.0
41,jitter_values_20250130_001027.csv,10,0,0,3,8.992165640738667,0.10551625374451692,16.677712954672636,1.2964588173546483,0,,0.0,0.0,0.0
42,jitter_values_20250130_001146.csv,10,0,0,3,9.324566312255175,0.4700676948896787,16.679721572467823,1.7707804620875318,0,,0.0,0.0,0.0
43,jitter_values_20250130_001306.csv,10,0,0,3,9.011474951021551,0.15919865730675772,16.680867030506576,1.491571652317345,0,,0.0,0.0,0.0
44,jitter_values_20250130_001426.csv,10,0,0,3,8.995243424734191,0.06881333577625244,16.678872076105204,1.4660066034344856,0,,0.0,0.0,0.0
