Run Number,Run Start Time,Run End Time,Jitter.py Run Duration (s),"Unity,exe Run Duration (s)",Server Restart Duration (s),Total Script Run Duration (s),Unity.exe Stop Duration (s),Buffer Size,Jitter Magnitude,Policy,baseLength
1,'2025-01-29 23:15:39,'2025-01-29 23:17:00,3.77,65,9.851340055465698,80.52874255180359,1.29,10,40,0,3
2,'2025-01-29 23:17:00,'2025-01-29 23:18:20,3.8,65,9.614047765731812,160.68357944488525,1.11,10,40,0,3
3,'2025-01-29 23:18:20,'2025-01-29 23:19:40,3.83,65,9.687168836593628,240.97164797782898,1.11,10,40,0,3
4,'2025-01-29 23:19:40,'2025-01-29 23:21:00,3.79,65,9.694440364837646,321.158145904541,1.1,10,40,0,3
5,'2025-01-29 23:21:00,'2025-01-29 23:22:20,3.8,65,9.737399816513062,401.39633297920227,1.1,10,40,0,3
6,'2025-01-29 23:22:20,'2025-01-29 23:23:41,3.8,65,9.66939926147461,481.6139826774597,1.11,10,40,0,3
7,'2025-01-29 23:23:41,'2025-01-29 23:25:01,3.78,65,9.727129697799683,561.8248205184937,1.1,10,40,0,3
8,'2025-01-29 23:25:01,'2025-01-29 23:26:21,3.81,65,9.686774730682373,642.0153107643127,1.11,10,40,0,3
9,'2025-01-29 23:26:21,'2025-01-29 23:27:41,3.79,65,9.763323068618774,722.2787137031555,1.1,10,40,0,3
10,'2025-01-29 23:27:41,'2025-01-29 23:29:02,3.79,65,9.638993740081787,802.5006294250488,1.11,10,40,0,3
11,'2025-01-29 23:29:02,'2025-01-29 23:30:22,3.77,65,9.713399887084961,882.8282043933868,1.11,10,40,0,3
12,'2025-01-29 23:30:22,'2025-01-29 23:31:42,3.79,65,9.762211561203003,963.0762410163879,1.11,10,40,0,3
13,'2025-01-29 23:31:42,'2025-01-29 23:33:02,3.78,65,9.71571683883667,1043.2882478237152,1.1,10,40,0,3
14,'2025-01-29 23:33:02,'2025-01-29 23:34:23,3.79,65,9.674365282058716,1123.5225372314453,1.11,10,40,0,3
15,'2025-01-29 23:34:23,'2025-01-29 23:35:43,3.79,65,9.654736518859863,1203.717627286911,1.1,10,40,0,3
16,'2025-01-29 23:35:43,'2025-01-29 23:37:03,3.76,65,9.668213605880737,1283.8338074684143,1.11,10,40,0,3
17,'2025-01-29 23:37:03,'2025-01-29 23:38:23,3.84,65,9.713180303573608,1364.0752143859863,1.1,10,40,0,3
18,'2025-01-29 23:38:23,'2025-01-29 23:39:43,3.8,65,9.717044830322266,1444.306761264801,1.1,10,40,0,3
19,'2025-01-29 23:39:43,'2025-01-29 23:41:04,3.82,65,9.714925050735474,1524.5367839336395,1.1,10,40,0,3
