Buffer Size,Jitter Magnitude,Policy,Base Length for Thresholding,Threshold,Decay,Std Dev Frame Time,Interrupt Frequency (/s),Interrupt Mag (ms/s),QoE_FTSD,QoE_IF,QoE_IM
10,40,0,3,600,2.0,1.7001047552949753,0.0,0.0,4.504794133703481,3.7,4.0
10,40,0,3,600,2.0,1.695131828159672,0.0,0.0,4.505072617623058,3.7,4.0
10,40,0,3,600,2.0,1.5794458146367056,0.0,0.0,4.511551034380344,3.7,4.0
10,40,0,3,600,2.0,1.7289861319851263,0.0,0.0,4.503176776608832,3.7,4.0
10,40,0,3,600,2.0,1.6220822884827568,0.0,0.0,4.509163391844965,3.7,4.0
10,40,0,3,600,2.0,1.6569291711556418,0.0,0.0,4.507211966415284,3.7,4.0
10,40,0,3,600,2.0,1.5813888632916064,0.0,0.0,4.51144222365567,3.7,4.0
10,40,0,3,600,2.0,1.531832438194178,0.0,0.0,4.514217383461125,3.7,4.0
10,40,0,3,600,2.0,1.527368375453874,0.0,0.0,4.514467370974582,3.7,4.0
10,40,0,3,600,2.0,1.6699012730174765,0.0,0.0,4.506485528711021,3.7,4.0
10,40,0,3,600,2.0,1.556820614809166,0.0,0.0,4.512818045570686,3.7,4.0
10,40,0,3,600,2.0,1.6537940564356703,0.0,0.0,4.507387532839602,3.7,4.0
10,40,0,3,600,2.0,1.6040103882103216,0.0,0.0,4.510175418260221,3.7,4.0
10,40,0,3,600,2.0,1.6052706484471095,0.0162344777513562,0.0022885093906976,4.510104843686961,3.699626607011719,3.9999908459624374
10,40,0,3,600,2.0,1.779527253794322,0.0,0.0,4.500346473787517,3.7,4.0
10,40,0,3,600,2.0,1.348914394306475,0.0,0.0,4.524460793918837,3.7,4.0
10,40,0,3,600,2.0,1.644993228075149,0.0,0.0,4.5078803792277915,3.7,4.0
10,40,0,3,600,2.0,1.5267836732773474,0.0,0.0,4.514500114296468,3.7,4.0
10,40,0,3,600,2.0,1.6050851644242818,0.0,0.0,4.510115230792239,3.7,4.0
10,40,0,3,600,2.0,1.913723683319455,0.0,0.0,4.49283147373411,3.7,4.0
10,20,0,3,600,2.0,1.7520710860651252,0.0,0.0,4.501884019180353,3.7,4.0
10,20,0,3,600,2.0,1.8122364205924804,0.0,0.0,4.49851476044682,3.7,4.0
10,20,0,3,600,2.0,1.6050069216854872,0.0,0.0,4.510119612385612,3.7,4.0
10,20,0,3,600,2.0,1.548386479255183,0.0,0.0,4.51329035716171,3.7,4.0
10,20,0,3,600,2.0,1.751519205042632,0.0,0.0,4.501914924517612,3.7,4.0
10,20,0,3,600,2.0,1.7222281957794503,0.0,0.0,4.5035552210363505,3.7,4.0
10,20,0,3,600,2.0,1.6902314026522776,0.0,0.0,4.505347041451472,3.7,4.0
10,20,0,3,600,2.0,1.9131870063144247,0.0,0.0,4.492861527646392,3.7,4.0
10,20,0,3,600,2.0,1.6196328500691524,0.0,0.0,4.509300560396127,3.7,4.0
10,20,0,3,600,2.0,1.4023313356878753,0.0,0.0,4.521469445201479,3.7,4.0
10,20,0,3,600,2.0,1.6846618462127585,0.0,0.0,4.505658936612085,3.7,4.0
10,20,0,3,600,2.0,1.6009662976152876,0.0,0.0,4.510345887333544,3.7,4.0
10,20,0,3,600,2.0,1.7924118104133495,0.0,0.0,4.499624938616852,3.7,4.0
10,20,0,3,600,2.0,1.6890611277977674,0.0,0.0,4.505412576843325,3.7,4.0
10,20,0,3,600,2.0,1.7644499375478602,0.0162290219425291,0.0020037324231563,4.50119080349732,3.699626732495322,3.999991985070307
10,20,0,3,600,2.0,1.5872896362804882,0.0,0.0,4.511111780368292,3.7,4.0
10,20,0,3,600,2.0,1.618028308883943,0.0,0.0,4.509390414702499,3.7,4.0
10,20,0,3,600,2.0,1.569994855083744,0.0,0.0,4.51208028811531,3.7,4.0
10,20,0,3,600,2.0,1.6004720813537223,0.0162342230473892,0.0622349655108876,4.510373563444191,3.6996266128699102,3.9997510601379567
10,20,0,3,600,2.0,1.632154890911377,0.0,0.0,4.508599326108962,3.7,4.0
10,0,0,3,600,2.0,1.5475862547428798,0.0,0.0,4.513335169734399,3.7,4.0
10,0,0,3,600,2.0,1.6659297723049031,0.0,0.0,4.506707932750925,3.7,4.0
10,0,0,3,600,2.0,1.4722560494986108,0.0,0.0,4.517553661228077,3.7,4.0
10,0,0,3,600,2.0,1.80340936089212,0.0,0.0,4.499009075790041,3.7,4.0
10,0,0,3,600,2.0,1.6578432651754915,0.0,0.0,4.5071607771501725,3.7,4.0
10,0,0,3,600,2.0,1.462733389828653,0.0,0.0,4.518086930169595,3.7,4.0
10,0,0,3,600,2.0,1.6564062470222485,0.0162335047363067,0.0106340170135934,4.507241250166754,3.699626629391065,3.9999574639319455
10,0,0,3,600,2.0,1.5684611053977402,0.0,0.0,4.5121661780977265,3.7,4.0
10,0,0,3,600,2.0,1.7637625337700138,0.0,0.0,4.501229298108879,3.7,4.0
10,0,0,3,600,2.0,1.6427869646961335,0.0,0.0,4.508003929977016,3.7,4.0
10,0,0,3,600,2.0,1.6210655889241077,0.0,0.0,4.50922032702025,3.7,4.0
10,0,0,3,600,2.0,1.512442571868376,0.0,0.0,4.51530321597537,3.7,4.0
10,0,0,3,600,2.0,1.3964614781479925,0.0,0.0,4.521798157223712,3.7,4.0
10,0,0,3,600,2.0,1.3626896592837243,0.0,0.0,4.523689379080111,3.7,4.0
10,0,0,3,600,2.0,1.458472669733272,0.0,0.0,4.518325530494937,3.7,4.0
10,0,0,3,600,2.0,1.606010079017261,0.0,0.0,4.510063435575033,3.7,4.0
