Run Number,Run Start Time,Run End Time,Jitter.py Run Duration (s),"Unity,exe Run Duration (s)",Server Restart Duration (s),Total Script Run Duration (s),Unity.exe Stop Duration (s),Buffer Size,Jitter Magnitude,Policy,baseLength,threshold,decay
1,'2025-02-06 20:39:37,'2025-02-06 20:40:58,3.81,65,9.888715505599976,80.73342275619507,1.26,10,40,0,3,600,2
2,'2025-02-06 20:40:58,'2025-02-06 20:42:18,3.79,65,9.745084047317505,161.01706075668335,1.11,10,40,0,3,600,2
3,'2025-02-06 20:42:18,'2025-02-06 20:43:38,3.79,65,9.667432308197021,241.16972303390503,1.1,10,40,0,3,600,2
4,'2025-02-06 20:43:38,'2025-02-06 20:44:58,3.8,65,9.827358722686768,321.6211438179016,1.12,10,40,0,3,600,2
5,'2025-02-06 20:44:58,'2025-02-06 20:46:19,3.81,65,9.719505310058594,401.8937704563141,1.11,10,40,0,3,600,2
6,'2025-02-06 20:46:19,'2025-02-06 20:47:39,3.78,65,9.65680718421936,482.0218732357025,1.1,10,40,0,3,600,2
7,'2025-02-06 20:47:39,'2025-02-06 20:48:59,3.77,65,9.80890440940857,562.3651876449585,1.11,10,40,0,3,600,2
8,'2025-02-06 20:48:59,'2025-02-06 20:50:19,3.81,65,9.724914312362671,642.6076247692108,1.11,10,40,0,3,600,2
9,'2025-02-06 20:50:19,'2025-02-06 20:51:40,3.81,65,9.627107381820679,722.8645470142365,1.1,10,40,0,3,600,2
10,'2025-02-06 20:51:40,'2025-02-06 20:53:00,3.8,65,9.734319925308228,803.078400850296,1.1,10,40,0,3,600,2
11,'2025-02-06 20:53:00,'2025-02-06 20:54:20,3.83,65,9.719144344329834,883.3218595981598,1.11,10,40,0,3,600,2
12,'2025-02-06 20:54:20,'2025-02-06 20:55:40,3.79,65,9.71501898765564,963.5232450962067,1.11,10,40,0,3,600,2
13,'2025-02-06 20:55:40,'2025-02-06 20:57:01,3.78,65,9.656258344650269,1043.6952939033508,1.1,10,40,0,3,600,2
14,'2025-02-06 20:57:01,'2025-02-06 20:58:21,3.76,65,9.662227392196655,1123.846400976181,1.1,10,40,0,3,600,2
15,'2025-02-06 20:58:21,'2025-02-06 20:59:41,3.79,65,9.688606262207031,1204.0553069114685,1.1,10,40,0,3,600,2
16,'2025-02-06 20:59:41,'2025-02-06 21:01:01,3.75,65,9.709290742874146,1284.263921737671,1.1,10,40,0,3,600,2
17,'2025-02-06 21:01:01,'2025-02-06 21:02:21,3.82,65,9.745654106140137,1364.5311915874481,1.1,10,40,0,3,600,2
18,'2025-02-06 21:02:21,'2025-02-06 21:03:42,3.87,65,9.770392656326294,1444.9246027469635,1.1,10,40,0,3,600,2
19,'2025-02-06 21:03:42,'2025-02-06 21:05:02,3.82,65,9.691012859344482,1525.1603078842163,1.11,10,40,0,3,600,2
20,'2025-02-06 21:05:02,'2025-02-06 21:06:22,3.79,65,9.786603927612305,1605.4437386989594,1.1,10,40,0,3,600,2
1,'2025-02-06 21:06:22,'2025-02-06 21:07:43,3.78,65,9.707098960876465,80.22462439537048,1.1,10,20,0,3,600,2
2,'2025-02-06 21:07:43,'2025-02-06 21:09:03,3.8,65,9.64592695236206,160.40117692947388,1.1,10,20,0,3,600,2
3,'2025-02-06 21:09:03,'2025-02-06 21:10:23,3.88,65,9.802464008331299,240.8128969669342,1.11,10,20,0,3,600,2
4,'2025-02-06 21:10:23,'2025-02-06 21:11:43,3.81,65,9.779803991317749,321.0891408920288,1.1,10,20,0,3,600,2
5,'2025-02-06 21:11:43,'2025-02-06 21:13:04,3.78,65,9.715487957000732,401.32148337364197,1.1,10,20,0,3,600,2
6,'2025-02-06 21:13:04,'2025-02-06 21:14:24,3.8,65,9.726591348648071,481.563618183136,1.1,10,20,0,3,600,2
7,'2025-02-06 21:14:24,'2025-02-06 21:15:44,3.81,65,9.649064540863037,561.7201201915741,1.1,10,20,0,3,600,2
8,'2025-02-06 21:15:44,'2025-02-06 21:17:04,3.8,65,9.770581722259521,641.9790482521057,1.1,10,20,0,3,600,2
9,'2025-02-06 21:17:04,'2025-02-06 21:18:25,3.79,65,9.723208665847778,722.216169834137,1.1,10,20,0,3,600,2
10,'2025-02-06 21:18:25,'2025-02-06 21:19:45,3.81,65,9.695915222167969,802.4288010597229,1.1,10,20,0,3,600,2
11,'2025-02-06 21:19:45,'2025-02-06 21:21:05,3.77,65,9.726217985153198,882.6523849964142,1.1,10,20,0,3,600,2
12,'2025-02-06 21:21:05,'2025-02-06 21:22:25,3.79,65,9.737033128738403,962.8878214359283,1.1,10,20,0,3,600,2
13,'2025-02-06 21:22:25,'2025-02-06 21:23:45,3.78,65,9.70827031135559,1043.0765762329102,1.1,10,20,0,3,600,2
14,'2025-02-06 21:23:45,'2025-02-06 21:25:06,3.8,65,9.680098056793213,1123.3537809848785,1.1,10,20,0,3,600,2
15,'2025-02-06 21:25:06,'2025-02-06 21:26:26,3.77,65,9.682263374328613,1203.5126492977142,1.1,10,20,0,3,600,2
16,'2025-02-06 21:26:26,'2025-02-06 21:27:46,3.79,65,9.716623544692993,1283.710162639618,1.1,10,20,0,3,600,2
17,'2025-02-06 21:27:46,'2025-02-06 21:29:06,3.77,65,9.801503658294678,1364.0090718269348,1.1,10,20,0,3,600,2
18,'2025-02-06 21:29:06,'2025-02-06 21:30:26,3.77,65,9.62834119796753,1444.101108789444,1.1,10,20,0,3,600,2
19,'2025-02-06 21:30:26,'2025-02-06 21:31:47,3.78,65,9.696605205535889,1524.3473389148712,1.1,10,20,0,3,600,2
20,'2025-02-06 21:31:47,'2025-02-06 21:33:07,3.84,65,9.761236190795898,1604.6258790493011,1.1,10,20,0,3,600,2
1,'2025-02-06 21:33:07,'2025-02-06 21:34:27,3.28,65,9.825749635696411,79.8095178604126,1.11,10,0,0,3,600,2
2,'2025-02-06 21:34:27,'2025-02-06 21:35:46,3.28,65,9.714828729629517,159.50323748588562,1.11,10,0,0,3,600,2
3,'2025-02-06 21:35:46,'2025-02-06 21:37:06,3.27,65,9.687074422836304,239.19021081924438,1.1,10,0,0,3,600,2
4,'2025-02-06 21:37:06,'2025-02-06 21:38:26,3.27,65,9.785783529281616,318.92721819877625,1.1,10,0,0,3,600,2
5,'2025-02-06 21:38:26,'2025-02-06 21:39:46,3.3,65,9.657941341400146,398.64208364486694,1.1,10,0,0,3,600,2
6,'2025-02-06 21:39:46,'2025-02-06 21:41:05,3.27,65,9.687127828598022,478.28970861434937,1.1,10,0,0,3,600,2
7,'2025-02-06 21:41:05,'2025-02-06 21:42:25,3.28,65,9.701152801513672,558.0235695838928,1.1,10,0,0,3,600,2
8,'2025-02-06 21:42:25,'2025-02-06 21:43:45,3.27,65,9.753556966781616,637.7733211517334,1.1,10,0,0,3,600,2
9,'2025-02-06 21:43:45,'2025-02-06 21:45:04,3.27,65,9.7445969581604,717.5043914318085,1.1,10,0,0,3,600,2
10,'2025-02-06 21:45:04,'2025-02-06 21:46:24,3.31,65,9.618943929672241,797.1394846439362,1.1,10,0,0,3,600,2
11,'2025-02-06 21:46:24,'2025-02-06 21:47:44,3.31,65,9.678557872772217,876.854409456253,1.1,10,0,0,3,600,2
12,'2025-02-06 21:47:44,'2025-02-06 21:49:04,3.29,65,9.75760269165039,956.643926858902,1.1,10,0,0,3,600,2
13,'2025-02-06 21:49:04,'2025-02-06 21:50:23,3.27,65,9.712496280670166,1036.3268365859985,1.1,10,0,0,3,600,2
14,'2025-02-06 21:50:23,'2025-02-06 21:51:43,3.27,65,9.724718809127808,1116.0062522888184,1.1,10,0,0,3,600,2
15,'2025-02-06 21:51:43,'2025-02-06 21:53:03,3.28,65,9.675189018249512,1195.752012014389,1.1,10,0,0,3,600,2
16,'2025-02-06 21:53:03,'2025-02-06 21:54:22,3.29,65,9.637859582901001,1275.3691012859344,1.11,10,0,0,3,600,2
17,'2025-02-06 21:54:22,'2025-02-06 21:55:42,3.27,65,9.673808336257935,1355.0287930965424,1.1,10,0,0,3,600,2
18,'2025-02-06 21:55:42,'2025-02-06 21:57:02,3.3,65,9.732362747192383,1434.8195436000824,1.11,10,0,0,3,600,2
19,'2025-02-06 21:57:02,'2025-02-06 21:58:21,3.27,65,9.6689612865448,1514.4452352523804,1.1,10,0,0,3,600,2
20,'2025-02-06 21:58:21,'2025-02-06 21:59:41,3.3,65,9.694314002990723,1594.1751959323883,1.1,10,0,0,3,600,2
1,'2025-02-06 21:59:41,'2025-02-06 22:01:01,3.78,65,9.734800815582275,80.27807664871216,1.1,10,40,2,3,600,1.5
2,'2025-02-06 22:01:01,'2025-02-06 22:02:22,3.78,65,9.691135168075562,160.49411916732788,1.1,10,40,2,3,600,1.5
3,'2025-02-06 22:02:22,'2025-02-06 22:03:42,3.82,65,9.730249166488647,240.74290251731873,1.1,10,40,2,3,600,1.5
4,'2025-02-06 22:03:42,'2025-02-06 22:05:02,3.77,65,9.695170640945435,320.91119480133057,1.1,10,40,2,3,600,1.5
5,'2025-02-06 22:05:02,'2025-02-06 22:06:22,3.79,65,9.734252214431763,401.1400773525238,1.1,10,40,2,3,600,1.5
6,'2025-02-06 22:06:22,'2025-02-06 22:07:43,3.8,65,9.786671876907349,481.5138533115387,1.1,10,40,2,3,600,1.5
7,'2025-02-06 22:07:43,'2025-02-06 22:09:03,3.78,65,9.741486310958862,561.8044044971466,1.1,10,40,2,3,600,1.5
8,'2025-02-06 22:09:03,'2025-02-06 22:10:23,3.78,65,9.815927505493164,642.0983648300171,1.1,10,40,2,3,600,1.5
9,'2025-02-06 22:10:23,'2025-02-06 22:11:44,3.89,65,9.67475962638855,722.3902027606964,1.1,10,40,2,3,600,1.5
10,'2025-02-06 22:11:44,'2025-02-06 22:13:04,3.77,65,9.630077123641968,802.5333166122437,1.1,10,40,2,3,600,1.5
11,'2025-02-06 22:13:04,'2025-02-06 22:14:24,3.84,65,9.69643259048462,882.7692897319794,1.1,10,40,2,3,600,1.5
12,'2025-02-06 22:14:24,'2025-02-06 22:15:44,3.79,65,9.708386182785034,963.016419172287,1.1,10,40,2,3,600,1.5
