Iteration,File,Buffer Size,Jitter Magnitude,Policy,Base Length for Thresholding,Threshold,Decay,Average Queue Size,Std Dev Queue Size,Average Frame Time,Std Dev Frame Time,Interrupt Count,Interrupts Magnitude(ms),Interrupt Mag (ms/s),Std Interrupt Mag,Interrupt Frequency (/s)
136,jitter_values_20250224_215844.csv,1,80,E-Policy,3,600,2,8.489348564371719,3.352254527258524,16.73025603581352,3.301347902924746,1,183.9687,2.551944369453553,0.0,0.0169412033655732
137,jitter_values_20250224_220008.csv,1,80,E-Policy,3,600,2,9.45998160073597,1.9379981132028812,16.729024747010122,3.1695059135113004,1,166.7662,2.246569104554953,0.0,0.0168366997719658
138,jitter_values_20250224_220133.csv,1,80,E-Policy,3,600,2,7.869565217391305,2.830290911005704,16.680054409063075,4.931140794579875,16,"173.6716, 33.3803, 33.6698, 34.6402, 168.8829, 88.4493, 50.5226, 44.3757, 45.8807, 62.9111, 40.8023, 40.2974, 36.9212, 40.1859, 35.1371, 49.5162",7.50518843235036,43.703374196875785,0.2692981935110959
139,jitter_values_20250224_220257.csv,1,80,E-Policy,3,600,2,10.03988953666769,2.3392987647876744,16.74045096655416,3.228898127718636,2,"169.2285, 33.7866",2.2962276231081904,67.72095,0.0336817606103191
140,jitter_values_20250224_220421.csv,1,80,E-Policy,3,600,2,9.416078551702975,1.8723700593122157,16.725869622583616,3.132929838300977,1,168.6942,2.2799641970252638,0.0,0.0168435993681162
141,jitter_values_20250224_220545.csv,1,80,E-Policy,3,600,2,9.537391841779977,1.7704840532278288,16.731571415327565,3.187650376990009,1,170.648,2.3280442052593644,0.0,0.0169540827143647
142,jitter_values_20250224_220710.csv,1,80,E-Policy,3,600,2,9.491868671371586,2.2658306414967955,16.729617183185027,3.14737945489372,1,166.0403,2.235587338171931,0.0,0.0168460436219446
143,jitter_values_20250224_220834.csv,1,80,E-Policy,3,600,2,9.080981595092023,2.5280640746023004,16.728799938650305,3.1039179821816267,1,168.5301,2.2767149964155333,0.0,0.016840010776704
144,jitter_values_20250224_220958.csv,1,80,E-Policy,3,600,2,8.014408338442673,2.4336848772178064,16.68143108828939,4.376152027962298,16,"177.2888, 67.75031, 96.0566, 50.159, 83.5787, 69.9825, 33.624, 35.6305, 50.5157, 36.2314, 35.1479, 35.5199, 39.9482, 35.401, 34.724, 33.3698",6.424668982060385,36.4510703709182,0.2693817080201371
145,jitter_values_20250224_221122.csv,1,80,E-Policy,3,600,2,8.864458754983135,1.9712730440046065,16.727488531125424,3.351083248577853,1,173.4991,2.3599496283460795,0.0,0.0168368475105831
146,jitter_values_20250224_221247.csv,1,80,E-Policy,3,600,2,9.327914110429449,2.074587972338395,16.731026687116564,3.209924386533015,1,172.741,2.347464744559278,0.0,0.0168388497699924
147,jitter_values_20250224_221411.csv,1,80,E-Policy,3,600,2,4.589247311827957,0.958227667641888,16.70556525345622,2.3163981753199825,3,"82.0448, 66.5503, 34.4593",1.4004402173383392,19.816636169026157,0.0505851677115884
148,jitter_values_20250224_221535.csv,1,80,E-Policy,3,600,2,4.510185185185185,0.8865333076741042,16.70510098765432,2.568698089186825,5,"102.0432, 65.8012, 34.5672, 33.7384, 34.3881",1.7591632893704745,26.90781391851817,0.0846798435994611
149,jitter_values_20250224_221659.csv,1,80,E-Policy,3,600,2,4.499693251533742,1.1662903181647,16.70327303680982,2.3676394400497607,5,"102.7414, 51.5453, 36.7147, 34.5578, 34.0498",1.5643680125978503,26.21047983849208,0.0841579941345267
150,jitter_values_20250224_221824.csv,1,80,E-Policy,3,600,2,4.492321867321867,1.0962592513357343,16.706119686732187,2.378710575765578,6,"79.9052, 66.8031, 51.8953, 35.117, 34.137, 35.0128",1.7341387961081005,17.6853929426707,0.1011450638981559
