Iteration,File,Buffer Size,Jitter Magnitude,Policy,Base Length for Thresholding,Threshold,Decay,Average Queue Size,Std Dev Queue Size,Average Frame Time,Std Dev Frame Time,Interrupt Count,Interrupts Magnitude(ms),Interrupt Mag (ms/s),Std Interrupt Mag,Interrupt Frequency (/s)
1,jitter_values_20250226_155613.csv,2,40,E-Policy,3,600,2,5.602739726027397,1.030676749646169,16.705121488584474,2.1059264423324446,1,83.30969,0.8357056495682275,0.0,0.016722020500418787
2,jitter_values_20250226_155738.csv,2,40,E-Policy,3,600,2,4.772893772893773,0.8898122225843204,16.697855525030526,1.9956699951346955,1,81.8171,0.8127602294070381,0.0,0.016763553998817626
3,jitter_values_20250226_155902.csv,2,40,E-Policy,3,600,2,4.786935286935287,0.9105456514046161,16.699096978021977,2.0483332527975167,1,69.0368,0.598619976453058,0.0,0.016766438766842917
4,jitter_values_20250226_160026.csv,2,40,E-Policy,3,600,2,5.008241758241758,0.6929916277932906,16.69720802808303,1.9623790524830007,1,71.1751,0.6336306051297821,0.0,0.01674421339452768
5,jitter_values_20250226_160150.csv,2,40,E-Policy,3,600,2,5.056776556776557,0.9957834094859682,16.69900091575092,2.0324587750686014,1,65.5753,0.5398201782605647,0.0,0.01674278107794558
6,jitter_values_20250226_160314.csv,2,40,E-Policy,3,600,2,6.604032997250229,1.2861908522634973,16.718256492514513,2.0516379261402182,1,81.5682,0.808645282465255,0.0,0.01676474611674582
7,jitter_values_20250226_160439.csv,2,40,E-Policy,3,600,2,6.810687022900764,0.7887080971385407,16.680973251908398,1.6994327722606075,0,,0.0,0.0,0.0
8,jitter_values_20250226_160603.csv,2,40,E-Policy,3,600,2,5.250381679389313,1.206615725798262,16.698893496183207,2.033236138617251,1,66.3815,0.5542713571573238,0.0,0.016771622278746838
9,jitter_values_20250226_160727.csv,2,40,E-Policy,3,600,2,5.112908147696063,0.8498768109669961,16.699871922490082,2.250972802916889,1,71.39529,0.6379464404051755,0.0,0.016760737162461525
10,jitter_values_20250226_160851.csv,2,40,E-Policy,3,600,2,5.023206106870229,0.92976247383476,16.699821679389313,2.3025981689280113,1,82.4154,0.8218895694822692,0.0,0.016745211366658224
