Run Number,Run Start Time,Run End Time,Jitter.py Run Duration (s),"Unity,exe Run Duration (s)",Server Restart Duration (s),Total Script Run Duration (s),Buffer Size,Jitter Magnitude,Policy,baseLength,threshold,decay
1,'2025-02-28 18:34:37,'2025-02-28 18:36:02,3.91,64.30338287353516,15.801151037216187,84.71672701835632,1,40,0,3,600,2
2,'2025-02-28 18:36:02,'2025-02-28 18:37:26,3.81,64.11146783828735,15.751157760620117,168.97883820533752,1,40,0,3,600,2
3,'2025-02-28 18:37:26,'2025-02-28 18:38:50,3.81,64.10755562782288,15.821832180023193,253.32704377174377,1,40,0,3,600,2
4,'2025-02-28 18:38:50,'2025-02-28 18:40:15,3.79,64.10650205612183,15.76295256614685,337.63003063201904,1,40,0,3,600,2
5,'2025-02-28 18:40:15,'2025-02-28 18:41:39,3.81,64.1073260307312,15.778912544250488,421.9343285560608,1,40,0,3,600,2
6,'2025-02-28 18:41:39,'2025-02-28 18:43:03,3.8,64.1077606678009,15.797985792160034,506.2527964115143,1,40,0,3,600,2
7,'2025-02-28 18:43:03,'2025-02-28 18:44:28,3.82,64.10914134979248,15.791670799255371,590.6481614112854,1,40,0,3,600,2
8,'2025-02-28 18:44:28,'2025-02-28 18:45:52,3.83,64.10811519622803,15.772549390792847,674.9524056911469,1,40,0,3,600,2
9,'2025-02-28 18:45:52,'2025-02-28 18:47:16,3.83,64.10598111152649,15.833255529403687,759.4023118019104,1,40,0,3,600,2
10,'2025-02-28 18:47:16,'2025-02-28 18:48:41,3.8,64.10678768157959,15.803943634033203,843.7446944713593,1,40,0,3,600,2
11,'2025-02-28 18:48:41,'2025-02-28 18:50:05,3.87,64.105797290802,15.78617000579834,928.1365895271301,1,40,0,3,600,2
12,'2025-02-28 18:50:05,'2025-02-28 18:51:30,3.8,64.10996580123901,15.810183763504028,1012.4783163070679,1,40,0,3,600,2
13,'2025-02-28 18:51:30,'2025-02-28 18:52:54,3.83,64.10804724693298,15.775841474533081,1096.7841193675995,1,40,0,3,600,2
14,'2025-02-28 18:52:54,'2025-02-28 18:54:18,3.81,64.10788106918335,15.76246976852417,1181.102263212204,1,40,0,3,600,2
15,'2025-02-28 18:54:18,'2025-02-28 18:55:43,3.82,64.10687065124512,15.808947563171387,1265.4511489868164,1,40,0,3,600,2
16,'2025-02-28 18:55:43,'2025-02-28 18:57:07,3.85,64.10706543922424,15.75457239151001,1349.781393289566,1,40,0,3,600,2
17,'2025-02-28 18:57:07,'2025-02-28 18:58:31,3.79,64.10784530639648,15.816296815872192,1434.133188009262,1,40,0,3,600,2
18,'2025-02-28 18:58:31,'2025-02-28 18:59:56,3.81,64.10662388801575,15.76691222190857,1518.4395520687103,1,40,0,3,600,2
19,'2025-02-28 18:59:56,'2025-02-28 19:01:20,3.92,64.10998392105103,15.727904796600342,1602.8953802585602,1,40,0,3,600,2
20,'2025-02-28 19:01:20,'2025-02-28 19:02:44,3.83,64.10744166374207,15.763744592666626,1687.2228350639343,1,40,0,3,600,2
21,'2025-02-28 19:02:44,'2025-02-28 19:04:09,3.84,64.10807418823242,15.720195770263672,1771.5644464492798,1,40,0,3,600,2
22,'2025-02-28 19:04:09,'2025-02-28 19:05:33,3.81,64.1353223323822,15.767208814620972,1855.923033952713,1,40,0,3,600,2
23,'2025-02-28 19:05:33,'2025-02-28 19:06:57,3.8,64.11510062217712,15.812358617782593,1940.2903113365173,1,40,0,3,600,2
24,'2025-02-28 19:06:57,'2025-02-28 19:08:22,3.86,64.10663485527039,15.727656602859497,2024.616329908371,1,40,0,3,600,2
25,'2025-02-28 19:08:22,'2025-02-28 19:09:46,3.83,64.10807204246521,15.716609954833984,2108.872425556183,1,40,0,3,600,2
26,'2025-02-28 19:09:46,'2025-02-28 19:11:10,3.84,64.10737895965576,15.788878679275513,2193.241626739502,1,40,0,3,600,2
27,'2025-02-28 19:11:10,'2025-02-28 19:12:35,3.82,64.10727071762085,15.716388463973999,2277.64191532135,1,40,0,3,600,2
28,'2025-02-28 19:12:35,'2025-02-28 19:13:59,3.83,64.10810422897339,15.771816730499268,2361.9805059432983,1,40,0,3,600,2
29,'2025-02-28 19:13:59,'2025-02-28 19:15:23,3.8,64.10702419281006,15.827323198318481,2446.343951702118,1,40,0,3,600,2
30,'2025-02-28 19:15:23,'2025-02-28 19:16:48,3.83,64.10733938217163,15.781073331832886,2530.695230960846,1,40,0,3,600,2
31,'2025-02-28 19:16:48,'2025-02-28 19:18:12,3.84,64.10772752761841,15.810422897338867,2615.0934295654297,1,40,0,3,600,2
32,'2025-02-28 19:18:12,'2025-02-28 19:19:36,3.8,64.1078531742096,15.796093702316284,2699.4254755973816,1,40,0,3,600,2
33,'2025-02-28 19:19:36,'2025-02-28 19:21:01,3.86,64.1093327999115,15.781790733337402,2783.795069694519,1,40,0,3,600,2
34,'2025-02-28 19:21:01,'2025-02-28 19:22:25,3.91,64.11064147949219,15.751539945602417,2868.178540468216,1,40,0,3,600,2
35,'2025-02-28 19:22:25,'2025-02-28 19:23:50,3.84,64.1080994606018,15.748472213745117,2952.4982163906097,1,40,0,3,600,2
1,'2025-02-28 19:23:50,'2025-02-28 19:25:14,3.79,64.10732412338257,15.780353307723999,84.26982426643372,1,20,0,3,600,2
2,'2025-02-28 19:25:14,'2025-02-28 19:26:38,3.85,64.10809206962585,15.735204219818115,168.61412000656128,1,20,0,3,600,2
3,'2025-02-28 19:26:38,'2025-02-28 19:28:02,3.82,64.1076729297638,15.737367630004883,252.9054470062256,1,20,0,3,600,2
4,'2025-02-28 19:28:02,'2025-02-28 19:29:27,3.81,64.10787463188171,15.777236700057983,337.2151484489441,1,20,0,3,600,2
5,'2025-02-28 19:29:27,'2025-02-28 19:30:51,3.81,64.10661101341248,15.745855331420898,421.45920872688293,1,20,0,3,600,2
6,'2025-02-28 19:30:51,'2025-02-28 19:32:15,3.79,64.10717010498047,15.824162244796753,505.91511583328247,1,20,0,3,600,2
7,'2025-02-28 19:32:15,'2025-02-28 19:33:40,3.79,64.10745096206665,15.76415205001831,590.2018585205078,1,20,0,3,600,2
8,'2025-02-28 19:33:40,'2025-02-28 19:35:04,3.79,64.108407497406,15.760258674621582,674.4794158935547,1,20,0,3,600,2
9,'2025-02-28 19:35:04,'2025-02-28 19:36:29,3.95,64.11017107963562,15.90616750717163,759.0947027206421,1,20,0,3,600,2
10,'2025-02-28 19:36:29,'2025-02-28 19:37:53,3.81,64.10788297653198,15.798776149749756,843.4634027481079,1,20,0,3,600,2
11,'2025-02-28 19:37:53,'2025-02-28 19:39:17,3.79,64.10752201080322,15.847538709640503,927.8045909404755,1,20,0,3,600,2
12,'2025-02-28 19:39:17,'2025-02-28 19:40:42,3.83,64.10812020301819,15.902918338775635,1012.2407829761505,1,20,0,3,600,2
13,'2025-02-28 19:40:42,'2025-02-28 19:42:06,3.86,64.10734152793884,15.845416069030762,1096.678235054016,1,20,0,3,600,2
14,'2025-02-28 19:42:06,'2025-02-28 19:43:30,3.81,64.11060786247253,15.715534925460815,1180.9059405326843,1,20,0,3,600,2
15,'2025-02-28 19:43:30,'2025-02-28 19:44:55,3.78,64.10905456542969,15.75499176979065,1265.1600472927094,1,20,0,3,600,2
16,'2025-02-28 19:44:55,'2025-02-28 19:46:19,3.87,64.11092925071716,15.796385765075684,1349.5505783557892,1,20,0,3,600,2
17,'2025-02-28 19:46:19,'2025-02-28 19:47:43,3.8,64.10834622383118,15.771337270736694,1433.8583862781525,1,20,0,3,600,2
18,'2025-02-28 19:47:43,'2025-02-28 19:49:08,3.83,64.10796880722046,15.75828766822815,1518.205308675766,1,20,0,3,600,2
19,'2025-02-28 19:49:08,'2025-02-28 19:50:32,3.84,64.10715174674988,15.75862741470337,1602.4978806972504,1,20,0,3,600,2
20,'2025-02-28 19:50:32,'2025-02-28 19:51:56,3.83,64.10971593856812,15.821158409118652,1686.8546340465546,1,20,0,3,600,2
21,'2025-02-28 19:51:56,'2025-02-28 19:53:21,3.81,64.10688066482544,15.809030294418335,1771.2108988761902,1,20,0,3,600,2
22,'2025-02-28 19:53:21,'2025-02-28 19:54:45,3.82,64.11101865768433,15.761297464370728,1855.5033493041992,1,20,0,3,600,2
23,'2025-02-28 19:54:45,'2025-02-28 19:56:09,3.81,64.1078679561615,15.80504322052002,1939.855089187622,1,20,0,3,600,2
24,'2025-02-28 19:56:09,'2025-02-28 19:57:34,3.8,64.10812616348267,15.715872049331665,2024.1275334358215,1,20,0,3,600,2
