Iteration,File,Buffer Size,Jitter Magnitude,Policy,Base Length for Thresholding,Threshold,Decay,Average Queue Size,Std Dev Queue Size,Average Frame Time,Std Dev Frame Time,Interrupt Count,Interrupts Magnitude(ms),Interrupt Mag (ms/s),Std Interrupt Mag,Interrupt Frequency (/s)
701,jitter_values_20250301_105858.csv,0,40,QM,3,600,5.0,4.158705701078582,0.9761752795007794,16.700866163328197,2.930639969298522,11,"90.48, 51.0491, 35.6231, 49.5978, 52.8522, 36.7735, 33.3875, 35.8343, 36.6274, 37.2739, 54.6801",2.4944704234329738,15.81811064314186,0.1860128845033001
702,jitter_values_20250301_110022.csv,0,40,QM,3,600,5.0,3.696335078534031,1.250087660196092,16.705185127810285,2.532992910989772,10,"33.8885, 74.83591, 54.6831, 37.7116, 37.2614, 34.6184, 34.6647, 50.8687, 53.8592, 46.6232",2.1242374387954976,12.419530890857711,0.1690176864554784
703,jitter_values_20250301_110146.csv,0,40,QM,3,600,5.0,3.9857849196538937,1.0524639679359216,16.70521949938195,3.156620615233828,17,"102.1582, 66.1848, 49.8613, 35.3981, 34.9866, 37.01, 35.2545, 34.4857, 34.6241, 35.1672, 33.6352, 35.3368, 51.3931, 51.0468, 34.1691, 35.6679, 34.6974",2.9563980699036136,17.119831879332484,0.288164279756432
704,jitter_values_20250301_110311.csv,0,40,QM,3,600,5.0,3.828254847645429,0.9087299311357808,16.700873437980917,2.94887541050488,11,"99.5044, 65.7692, 49.2653, 37.0453, 50.8106, 33.4447, 36.5835, 34.997, 37.1734, 34.1853, 33.9147",2.466434462936112,19.292915427381608,0.1857932437127791
705,jitter_values_20250301_110435.csv,0,40,QM,3,600,5.0,3.727047913446677,1.0541878829850362,16.68958176197836,2.9936304624294627,14,"83.215, 65.4188, 36.1699, 51.8802, 49.9141, 33.8751, 33.4947, 33.8955, 34.5005, 50.5332, 34.5497, 33.424, 50.1521, 50.842",2.9710676441513737,14.245052429671208,0.2374166233544785
706,jitter_values_20250301_110600.csv,0,40,QM,3,600,5.0,3.7028447742733457,1.21561062647481,16.707221181199753,2.991103739959212,14,"84.924, 65.6817, 35.283, 34.9617, 48.9969, 35.9081, 34.7515, 47.8758, 51.851, 34.1033, 33.4582, 33.7454, 48.8189, 47.9502",2.9094685129682327,14.32454131650345,0.2373097270854146
707,jitter_values_20250301_110724.csv,0,40,QM,3,600,5.0,3.846749226006192,1.021773012387143,16.697904117647056,3.2106406399110226,16,"84.0612, 68.6637, 37.3761, 35.2013, 34.8828, 50.5377, 34.4023, 34.9547, 34.3367, 35.0753, 52.0278, 51.0167, 50.1983, 33.7045, 51.0036, 34.0753",3.1964314011483244,14.128395090185403,0.2717697792447711
708,jitter_values_20250301_110848.csv,0,40,QM,3,600,5.0,3.273062730627306,1.399951694821055,16.676826199261992,3.404487569078825,16,"33.461, 33.8267, 79.7695, 83.1014, 64.7323, 36.4044, 49.5826, 48.9967, 38.1562, 51.9217, 33.985, 35.1918, 51.4936, 50.8224, 50.3645, 71.8613",4.738533402224035,15.829380591718076,0.2704471046546601
709,jitter_values_20250301_111013.csv,0,40,QM,3,600,5.0,4.078153846153846,1.3091233387262722,16.69997932307692,2.7798017656808107,10,"104.1418, 53.6905, 36.029, 34.2296, 36.4559, 33.7637, 34.126, 35.6027, 34.5265, 34.6571",1.7548865659764217,20.91867815880344,0.1689186338995718
710,jitter_values_20250301_111137.csv,0,40,QM,3,600,5.0,4.300923076923077,0.9573382534282964,16.702105356923077,2.704602554642985,13,"85.1653, 67.72231, 33.8621, 35.0912, 35.7206, 37.4819, 38.3655, 35.0547, 37.438, 37.9118, 37.2975, 36.4384, 35.5093",2.0216123383011904,14.907393263990238,0.2195105581047058
711,jitter_values_20250301_111301.csv,0,40,QM,3,600,5.0,3.787411292810861,0.9700016515110484,16.691474915149644,3.0367844635937304,15,"85.7386, 65.6571, 34.3926, 34.2669, 33.544, 33.5327, 51.5282, 50.6785, 34.1096, 34.8791, 45.459, 49.9348, 50.1898, 35.6288, 53.9218",3.2759450296377453,14.303598228961675,0.2539997776537654
712,jitter_values_20250301_111426.csv,0,40,QM,3,600,5.0,3.821650124069479,1.2641318840259383,16.683016439205954,3.4985540166190043,20,"94.459, 34.1394, 97.7138, 52.7296, 48.8518, 34.2169, 56.7867, 49.2198, 50.1237, 49.9431, 35.6746, 34.6833, 35.3148, 34.1276, 51.3716, 34.3136, 34.5386, 37.9042, 50.8864, 35.3259",4.862288874424332,17.961780166525813,0.3404276190697266
713,jitter_values_20250301_111550.csv,0,40,QM,3,600,5.0,3.402472952086553,1.2633921092201978,16.696127576506957,3.0124527209440672,15,"82.78391, 67.1414, 34.1407, 35.7974, 34.3382, 33.889, 34.0193, 49.2718, 35.0101, 50.8397, 50.2763, 49.7874, 34.5516, 47.4732, 35.6042",2.966433404052112,13.86760069157962,0.254375901452067
714,jitter_values_20250301_111714.csv,0,40,QM,3,600,5.0,4.132325724861197,0.9977191303865648,16.70089929056138,3.0693800838696887,14,"87.9684, 47.3217, 34.1047, 49.5181, 34.5241, 51.3716, 36.8188, 37.2718, 50.0949, 37.5496, 40.6236, 37.6991, 37.3291, 35.8653",2.562178541162325,13.506134955958771,0.2369345561672693
715,jitter_values_20250301_111839.csv,0,40,QM,3,600,5.0,4.141358024691358,0.9057563545718492,16.694533611111112,2.75417652376192,16,"85.116, 36.5929, 37.9994, 35.8727, 35.39, 37.3933, 33.5104, 34.6569, 33.5709, 35.7527, 49.3357, 33.6618, 50.7624, 34.8245, 34.5269, 34.4431",1.8645908641450677,12.639800211089176,0.2710253319873186
716,jitter_values_20250301_112003.csv,0,40,QM,3,600,5.0,3.891089108910891,1.0528679446166012,16.690297277227724,2.889186244775992,18,"84.753, 52.2044, 36.8674, 35.0193, 35.5087, 34.6099, 33.9522, 33.8404, 36.2396, 33.3486, 33.6066, 35.0426, 35.5673, 33.7214, 33.5149, 33.4781, 48.7663, 48.5325",2.012442945087014,12.308924914422416,0.3054988536832311
717,jitter_values_20250301_112128.csv,0,40,QM,3,600,5.0,3.917618019129898,1.015771313560778,16.699346775686518,3.009028303712999,14,"100.2103, 51.7687, 49.775, 35.0563, 33.99, 35.778, 34.0361, 35.1805, 53.061, 35.6192, 48.6916, 48.6782, 52.6793, 34.809",3.0923853590613564,16.807378627118098,0.2370078221166512
718,jitter_values_20250301_112252.csv,0,40,QM,3,600,5.0,4.336822660098522,1.0147535030535315,16.70175113916256,2.6801070010503465,11,"100.0525, 68.0896, 36.6818, 33.9262, 37.4945, 35.1596, 33.9767, 34.4924, 35.167, 36.4427, 33.7223",2.001333101521829,20.066249381671653,0.185717220281768
719,jitter_values_20250301_112416.csv,0,40,QM,3,600,5.0,4.031452358926919,0.9311246805309414,16.702802651865557,2.769886934007606,12,"85.5442, 34.8946, 33.972, 34.6108, 36.2133, 34.3415, 36.6863, 54.1206, 50.1732, 33.3516, 51.6589, 34.2278",2.0266032498274225,14.7406010032005,0.2030074813096137
720,jitter_values_20250301_112541.csv,0,40,QM,3,600,5.0,4.039469626888684,0.9643471464170296,16.694510823311745,3.019186654090188,16,"84.758, 69.8606, 37.5722, 35.3239, 35.7803, 35.3298, 49.112, 34.2179, 35.0067, 36.0104, 34.0855, 35.8551, 37.005, 35.4275, 49.8955, 34.7724",2.4812418247702546,14.201333417323882,0.2706573250198315
721,jitter_values_20250301_112705.csv,0,40,QM,3,600,5.0,4.055812519272279,1.0087369613790438,16.697360746222635,2.5977007419741147,9,"82.8892, 51.7231, 36.2276, 35.7162, 33.8769, 34.1015, 34.9705, 50.1599, 38.0975",1.6538068662708882,15.112451737761576,0.1522493587507482
722,jitter_values_20250301_112829.csv,0,40,QM,3,600,5.0,3.9802773497688753,1.051793393933405,16.707942927580895,2.997899433965117,14,"101.4788, 66.6222, 34.3951, 34.9777, 50.2297, 36.1003, 36.4635, 34.5375, 34.1719, 34.6095, 34.142, 34.7084, 35.5428, 35.5033",2.313512408043575,18.395647957541648,0.2367352358712751
723,jitter_values_20250301_112954.csv,0,40,QM,3,600,5.0,4.061148857319333,0.8592466267615506,16.712464175416926,2.8973858682692017,16,"88.0896, 34.578, 51.0048, 34.8494, 35.2883, 33.7469, 33.4789, 34.4103, 36.4132, 33.7142, 48.4682, 50.0683, 35.0954, 33.8584, 35.8145, 36.0157",2.059015468275669,13.535770077382873,0.2710105512375285
724,jitter_values_20250301_113118.csv,0,40,QM,3,600,5.0,3.378345124577053,1.4897222763135027,16.678944816979392,3.1271910815043027,17,"34.0162, 33.5874, 35.5268, 33.9585, 87.5007, 69.6881, 35.2442, 34.8913, 36.2557, 33.6668, 33.9436, 49.9095, 36.7853, 54.1929, 46.5754, 65.5564, 50.8539",3.469324186881773,15.406776563658322,0.2870195773072591
725,jitter_values_20250301_113243.csv,0,40,QM,3,600,5.0,3.8842949706880594,0.8804478752961967,16.698590802221535,2.931562506434633,15,"82.29729, 67.7904, 34.3931, 51.1453, 47.3102, 34.0845, 33.9582, 35.2956, 51.7179, 36.0332, 51.5178, 50.6928, 48.3807, 34.4229, 34.6188",3.2791188247828837,13.686076099281085,0.2539869752894281
726,jitter_values_20250301_113407.csv,0,40,QM,3,600,5.0,4.133004926108375,0.9283778289370316,16.702366163793105,2.5705558015410364,11,"86.6515, 53.954, 34.4833, 37.7682, 34.0729, 35.154, 33.5853, 35.5745, 33.8856, 48.8461, 33.6345",1.7049713817728918,15.41161751863919,0.1857943909926339
727,jitter_values_20250301_113531.csv,0,40,QM,3,600,5.0,3.680975911056208,0.963569994883062,16.692514885731935,3.018513462237009,14,"85.3384, 64.3098, 35.0255, 34.618, 34.4125, 52.1902, 49.2466, 33.4943, 51.6498, 50.0825, 51.0298, 48.7577, 35.8779, 39.4356",3.3687593239715388,13.800588382561733,0.2372342761411179
728,jitter_values_20250301_113656.csv,0,40,QM,3,600,5.0,4.449674821926293,1.0360706676203564,16.706007432641684,2.357115421770738,8,"84.944, 54.9924, 33.5091, 35.4679, 34.0995, 33.9237, 34.0779, 35.2126",1.3514432555578506,17.143337260028858,0.1358909990336252
729,jitter_values_20250301_113820.csv,0,40,QM,3,600,5.0,4.076,1.1233863636923345,16.696973446153844,2.8104484756232564,9,"82.3112, 65.1321, 50.4683, 37.8786, 46.6236, 49.2696, 38.5661, 36.5671, 34.9985",2.39471950120678,14.76050869644328,0.1519758927132327
730,jitter_values_20250301_113944.csv,0,40,QM,3,600,5.0,4.152730638691762,0.9647167968378618,16.70103026843567,3.219101026244264,15,"105.1998, 68.276, 51.5192, 33.7228, 34.6647, 33.7043, 40.5359, 52.1625, 34.9405, 34.8798, 52.4274, 49.3029, 33.806, 34.1994, 36.3085",3.3123037513930003,18.632356801287617,0.2539465115988428
731,jitter_values_20250301_114109.csv,0,40,QM,3,600,5.0,3.56751768686558,1.1832068377257312,16.703964841587204,2.796114576780341,8,"82.5415, 69.8428, 36.1407, 51.4198, 47.8149, 33.7193, 36.7661, 36.5765",2.163342900806539,16.839656692833735,0.1350454756328395
732,jitter_values_20250301_114233.csv,0,40,QM,3,600,5.0,3.803897309000928,0.8056251212480587,16.700590720692855,3.1399554683663142,18,"84.9315, 69.0514, 53.089, 33.5758, 50.3402, 34.8342, 34.3552, 52.7058, 34.7989, 49.5251, 49.6987, 34.994, 33.654, 50.8276, 33.9337, 35.0084, 35.2297, 50.3342",3.746691075443536,13.789172055325077,0.3053159348236923
733,jitter_values_20250301_114357.csv,0,40,QM,3,600,5.0,3.706427688504326,1.1406641824610992,16.695039771322623,3.228060287111696,14,"100.728, 66.0915, 50.6729, 51.4475, 34.135, 33.7938, 52.0594, 34.9908, 48.9597, 34.1814, 49.4132, 51.0025, 33.502, 48.6519",3.779949763620552,17.10816432453541,0.2373457243083506
734,jitter_values_20250301_114522.csv,0,40,QM,3,600,5.0,3.8760815822002472,0.9506052272808264,16.694622802843018,2.9114868466467536,14,"84.28809, 68.0387, 34.4148, 33.6226, 50.556, 33.3466, 49.6033, 34.3808, 34.4758, 34.3319, 33.9599, 33.4195, 50.0892, 52.0918",2.7117381072013864,15.053219991293966,0.2373478229318984
735,jitter_values_20250301_114646.csv,0,40,QM,3,600,5.0,4.123756218905473,0.952159700275705,16.70850506840796,2.854973693595995,17,"88.199, 48.116, 33.7226, 35.2329, 36.4182, 36.7639, 34.8945, 34.1728, 33.4017, 34.2813, 37.6185, 33.5299, 33.4553, 35.014, 34.1073, 35.4082, 34.7489",1.5755881855433842,12.796109675139576,0.2898234741184495
